"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561198245325992","CHMA |  Rambo","5","49","0.1","2","0.06","0.57","22","0","1","1","495","19","{""Swift"":1,""Rob491"":1,""Will b"":2,""ULFBERHT"":1,""〢BuИk"":1,""DeathVice"":6,""LastLight"":2,""MrKravs33"":2,""=Krusader="":1,""Capt.Taylor"":1,""SeatingChart"":1,""SolarEclipse"":6,""=LordFarquaad="":2,""=Gatrick Swayze="":1,""Ж | =Alotta Bush="":1,""=Krombopulous_MYKL="":1,""Dingo Dick Destroyer"":17,""вит | Phat_Cheeks57"":2}","{""〢BuИk"":1,""=Wurlstar="":1,""=LordFarquaad="":1,""I_NoScoped_JFK"":1,""Ж | =Alotta Bush="":1}","52","395","780","260","{""KARABINER 98K"":5}","{""M1 GARAND"":5,""M1 CARBINE"":1,""BOMBING RUN"":2,""M3 GREASE GUN"":1,""BROWNING M1919"":13,""Sd.Kfz.181 Tiger 1"":1,""155MM HOWITZER [M114]"":17,""37MM CANNON [Stuart M5A1]"":1,""75MM CANNON [Sherman M4A3(75)W]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":6,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1}"
"76561198032845713","CHMA | Curlz","37","3","12.33","31","0.43","0.04","2","0","0","0","1222","83","{""SeatingChart"":1,""Ж | =Alotta Bush="":1,""Dingo Dick Destroyer"":1}","{""kapk"":1,""Жan"":1,""Swift"":3,""Ralfus"":1,""=Caono="":1,""D' Bearz"":1,""〢BuИk"":1,""MrKravs33"":2,""Ж | Rath"":2,""=Wurlstar="":3,""=LordBarst="":3,""Capt.Taylor"":2,""нs | Widow"":1,""SeatingChart"":2,""=LordFarquaad="":2,""=BootySmasher69="":4,""=Gatrick Swayze="":2,""Ж | =Alotta Bush="":2,""в●ти | =exel="":1,""вит | Phat_Cheeks57"":1,""=Girth Brooks=(THICC)(CLWN)"":1}","981","540","1600","0","{""MG42"":31,""STG44"":1,""75MM CANNON [PAK 40]"":5}","{""M1 GARAND"":2,""155MM HOWITZER [M114]"":1}"
"76561199085539517","MS | Smurf 我很爛","15","33","0.45","7","0.18","0.39","12","3","1","1","642","14","{""Gang"":1,""Ans1s"":1,""Saxon"":1,""Toose"":1,""Entice"":5,""-KINGSY"":6,"".Dя!zL.."":1,""CHMA | DV"":2,""CHMA | Bloo"":2,""CHMA | Holo"":1,""ThaBoogyMAN"":1,""CHMA | Cooler"":6,""Kenny_boyyy97"":1,""ZOO × Nike Job"":2,""CHMA | Centurion"":1,""CHMA | Speff ☢"":1}","{""Toose"":3,""Diesel"":1,""Rottenbob"":1,""CHMA | Frog"":1,""CHMA | Holo"":1,""ThaBoogyMAN"":2,""CHMA | Zulsori"":2,""ZOO × Nike Job"":1,""CHMA | Cannonfodder"":1,""CHMA | Pell Let Loose"":1,""「𝓒𝓗𝓜𝓐」Complaints"":1}","392","325","960","300","{""M8 Greyhound"":5,""BROWNING M1919"":1,""M6 37mm [M8 Greyhound]"":6,""75MM CANNON [Sherman M4A3(75)W]"":2,""COAXIAL M1919 [Sherman M4A3(75)W]"":1}","{""MG42"":4,""MP40"":1,""SATCHEL"":2,""GEWEHR 43"":3,""M1A1 AT MINE"":1,""PANZERSCHRECK"":3,""150MM HOWITZER [sFH 18]"":5,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":2,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":3,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":8}"
"76561198316200344","MitchellBoomin.","3","74","0.04","1","0.04","0.87","29","0","2","1","232","18","{""Gang"":2,""Ans1s"":2,""Toose"":1,""Diesel"":2,""Entice"":4,""-KINGSY"":7,""CHMA | DV"":5,""CHMA | Bloo"":1,""CHMA | Holo"":2,""ThaBoogyMAN"":1,""SandyMuffins"":1,""CHMA | Cooler"":30,""CHMA | Lykaon"":1,""Kenny_boyyy97"":1,""ZOO × Nike Job"":3,""CHMA | Centurion"":3,""CHMA | Speff ☢"":1,""CHMA | Aussieboy118"":1,""CHMA | MrChEeSeCaKe"":2,""CHW∀ | Hiddeninshadows"":3,""CHMA |  J A G D P A N Z E R"":1}","{""Demo"":1,""CHMA | Puddles"":1,""ZOO × Nike Job"":1}","37","1125","580","460","{""M1 GARAND"":3}","{""MG42"":6,""MP40"":2,""STG44"":3,""SATCHEL"":4,""GEWEHR 43"":6,""BOMBING RUN"":1,""M1A1 AT MINE"":1,""PANZERSCHRECK"":1,""FLAMMENWERFER 41"":1,""150MM HOWITZER [sFH 18]"":30,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":5,""HULL MG34 [Sd.Kfz.161 Panzer IV]"":1,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":5,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":8}"
"76561199150554568","=LordBarst=","8","25","0.32","3","0.09","0.29","8","1","1","1","1011","27","{""Entice"":3,""-KINGSY"":1,""Red Six"":1,""Rottenbob"":1,""CHMA | HaZ"":1,""CHMA | Bloo"":3,""CHMA | Curlz"":3,""CHMA | Cooler"":10,""ZOO × Nike Job"":1,""CHMA | MrChEeSeCaKe"":1}","{""Demo"":2,""CHMA | VK"":1,""ZOO × Nike Job"":2,""CHMA | Centurion"":2,""CHW∀ | Hiddeninshadows"":1}","110","365","980","420","{""M1 GARAND"":8}","{""MG42"":5,""STG44"":3,""GEWEHR 43"":1,""M1A1 AT MINE"":1,""PANZERSCHRECK"":1,""75MM CANNON [PAK 40]"":1,""150MM HOWITZER [sFH 18]"":10,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":3}"
"76561198808429382","вит | YoukonCornelius","17","84","0.2","2","0.2","0.98","14","1","3","1","165","18","{""Demo"":1,""Gang"":5,""Ans1s"":2,""Toose"":2,""Entice"":6,""-KINGSY"":8,"".Dя!zL.."":1,""CHMA | DV"":3,""CHMA | VK"":1,""Rottenbob"":2,""CHMA | HaZ"":3,""CHMA | Bloo"":2,""CHMA | Holo"":2,""ThaBoogyMAN"":2,""SandyMuffins"":3,""CHMA | Cooler"":25,""CHMA | Lykaon"":2,""CHMA | l0rdeh"":1,""CHMA | sik20b"":1,""Kenny_boyyy97"":1,""CHMA | Zulsori"":1,""CHMA | Slimski3"":1,""ZOO × Nike Job"":3,""CHMA | Centurion"":1,""CHMA | Speff ☢"":2,""CHMA|GruffyTicklez"":1,""CHW∀ | Hiddeninshadows"":1,""「𝓒𝓗𝓜𝓐」Complaints"":1}","{""Toose"":3,""Entice"":1,"".Dя!zL.."":2,""CHMA | HaZ"":1,""ThaBoogyMAN"":1,""Kenny_boyyy97"":3,""ZOO × Nike Job"":2,""CHMA | Speff ☢"":2,""CHMA|GruffyTicklez"":1,""CHW∀ | Hiddeninshadows"":1}","229","435","320","520","{""BAZOOKA"":1,""M1 GARAND"":8,""M1 CARBINE"":2,""MK2 GRENADE"":1,""M3 GREASE GUN"":3,""M97 TRENCH GUN"":2}","{""MG42"":11,""MP40"":6,""STG44"":4,""SATCHEL"":5,""GEWEHR 43"":7,""M1A1 AT MINE"":1,""KARABINER 98K"":1,""PANZERSCHRECK"":2,""75MM CANNON [PAK 40]"":1,""M43 STIELHANDGRANATE"":4,""150MM HOWITZER [sFH 18]"":24,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":2,""COAXIAL MG34 [Sd.Kfz.121 Luchs]"":2,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":5,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":9}"
"76561199015585063","CHMA | Bloo","82","32","2.56","39","0.96","0.38","6","0","0","0","675","19","{""kapk"":1,""〢BuИk"":1,""LastLight"":2,""Malum Caedo"":1,""DayZ-Filters"":2,""SeatingChart"":1,""SolarEclipse"":7,""=LordFarquaad="":2,""I_NoScoped_JFK"":1,""=Krombopulous_MYKL="":1,""=Mad_Jack Churchill="":2,""Dingo Dick Destroyer"":10,""=Girth Brooks=(THICC)(CLWN)"":1}","{""DJ"":2,""kapk"":7,""Swift"":1,""〢BuИk"":2,""=M4ILBOX="":2,""Ж | Rath"":5,""=Wurlstar="":10,""=LordBarst="":3,""Capt.Taylor"":1,""Crazy_boots"":1,""DayZ-Filters"":6,""=LordFarquaad="":6,""I_NoScoped_JFK"":4,""MitchellBoomin."":1,""=BootySmasher69="":4,""=Gatrick Swayze="":5,""вит | Ventil8"":2,""ВOTИ | Archytek"":2,""Ж | =Alotta Bush="":6,""в●ти | =exel="":4,""=Krombopulous_MYKL="":2,""MS | Smurf 我很爛"":2,""вит | YoukonCornelius"":2,""=Girth Brooks=(THICC)(CLWN)"":2}","1071","2995","760","480","{""MG42"":77,""STG44"":1,""GEWEHR 43"":1,""PANZERSCHRECK"":2,""M43 STIELHANDGRANATE"":1}","{""SATCHEL"":2,""M1 GARAND"":3,""M1 CARBINE"":1,""M3 GREASE GUN"":2,""BROWNING M1919"":1,""155MM HOWITZER [M114]"":10,""M6 37mm [M8 Greyhound]"":1,""37MM CANNON [Stuart M5A1]"":1,""75MM CANNON [Sherman M4A3(75)W]"":1,""HULL M1919 [Sherman M4A3E2(76)]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":7,""COAXIAL M1919 [Sherman M4A3E2(76)]"":2}"
"76561199120954849","Rafiki","0","7","0","0","0","0.08","7","0","0","0","2650","111","{""Rob491"":3,""LastLight"":1,""SolarEclipse"":1,""Dingo Dick Destroyer"":2}","{}","200","370","1600","60","{}","{""155MM HOWITZER [M114]"":2,""57MM CANNON [M1 57mm]"":3,""37MM CANNON [Stuart M5A1]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1}"
"76561197998703846","Ans1s","64","9","7.11","29","0.75","0.11","2","2","0","0","1249","125","{""Rob491"":2,""LastLight"":1,""SolarEclipse"":4,""=Mad_Jack Churchill="":1,""Dingo Dick Destroyer"":1}","{""DJ"":4,""B3n"":2,""kapk"":2,""Жan"":1,""Swift"":1,""Ralfus"":1,""Rob491"":5,""D' Bearz"":2,""〢BuИk"":1,""MrKravs33"":1,""Ж | Rath"":1,""=Wurlstar="":3,""Capt.Taylor"":1,""Crazy_boots"":4,""WhiskyPilot"":1,""нs | Widow"":3,""DayZ-Filters"":2,""SeatingChart"":3,""I_NoScoped_JFK"":2,""MitchellBoomin."":2,""=BootySmasher69="":1,""=Gatrick Swayze="":1,""вит | Ventil8"":2,""ВOTИ | Archytek"":8,""Ж | =Alotta Bush="":1,""в●ти | =exel="":2,""=Krombopulous_MYKL="":1,""Jizzbeard The Pirate"":1,""MS | Smurf 我很爛"":1,""вит | YoukonCornelius"":2,""=Girth Brooks=(THICC)(CLWN)"":2}","816","35","1540","60","{""20MM KWK 30 [Sd.Kfz.121 Luchs]"":5,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":7,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":52}","{""155MM HOWITZER [M114]"":1,""57MM CANNON [M1 57mm]"":2,""37MM CANNON [Stuart M5A1]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":5}"
"76561199036143400","ZOO × Nike Job","64","85","0.75","8","0.75","1","12","1","9","2","258","16","{""DJ"":1,""Will b"":2,""D' Bearz"":1,""ULFBERHT"":1,""〢BuИk"":4,""DeathVice"":14,""LastLight"":2,""MrKravs33"":3,""=Krusader="":1,""=Wurlstar="":3,""=LordBarst="":2,""Crazy_boots"":3,""нs | Widow"":2,""DayZ-Filters"":3,""SeatingChart"":1,""SolarEclipse"":6,""=LordFarquaad="":5,""I_NoScoped_JFK"":1,""MitchellBoomin."":1,""=BootySmasher69="":1,""вит | Ventil8"":1,""ВOTИ | Archytek"":4,""Ж | =Alotta Bush="":3,""=Krombopulous_MYKL="":1,""=Mad_Jack Churchill="":1,""Dingo Dick Destroyer"":11,""MS | Smurf 我很爛"":1,""вит | Phat_Cheeks57"":4,""вит | YoukonCornelius"":2}","{""DJ"":2,""kapk"":2,""Жan"":3,""Swift"":2,""Ralfus"":1,""D' Bearz"":3,""Mccraith"":1,""〢BuИk"":5,""=M4ILBOX="":1,""MrKravs33"":1,""Ж | Rath"":2,""=Krusader="":1,""=Wurlstar="":3,""=LordBarst="":1,""Crazy_boots"":1,""нs | Widow"":2,""DayZ-Filters"":3,""SeatingChart"":1,""=LordFarquaad="":1,""I_NoScoped_JFK"":5,""MitchellBoomin."":3,""=BootySmasher69="":1,""=Gatrick Swayze="":2,""вит | Ventil8"":1,""ВOTИ | Archytek"":1,""Ж | =Alotta Bush="":3,""в●ти | =exel="":4,""=Krombopulous_MYKL="":1,""MS | Smurf 我很爛"":2,""вит | YoukonCornelius"":3,""=Girth Brooks=(THICC)(CLWN)"":2}","734","345","640","220","{""MG42"":8,""MP40"":6,""STG44"":17,""SATCHEL"":17,""GEWEHR 43"":15,""KARABINER 98K"":1}","{""BAZOOKA"":4,""SATCHEL"":1,""M1 GARAND"":14,""M1 CARBINE"":1,""BOMBING RUN"":1,""MK2 GRENADE"":3,""M1A1 THOMPSON"":2,""M3 GREASE GUN"":3,""BROWNING M1919"":28,""M97 TRENCH GUN"":5,""M2 FLAMETHROWER"":1,""155MM HOWITZER [M114]"":11,""37MM CANNON [Stuart M5A1]"":2,""75MM CANNON [Sherman M4A3(75)W]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":7,""COAXIAL M1919 [Sherman M4A3(75)W]"":1}"
