"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561197983347294","Ξ Smearin","88","53","1.66","11","1.03","0.62","7","0","2","1","295","18","{""Widow"":1,""Theone"":1,""Taylorr"":2,""Ж exel"":4,""=Blendy="":1,""D' Bearz"":1,""Mccraith"":1,""Ж gibbs"":2,""Ж | B3n"":2,""=M4ILBOX="":1,""DeathVice"":2,""=Krusader="":4,""=Wurlstar="":2,""Buttspoons"":2,""PyrochemЖst"":4,""SolarEclipse"":1,""Vomit Coffin"":4,""WinnableSleet"":1,""Cpl. NutBender"":2,""I_NoScoped_JFK"":1,""вит | Archytek"":1,""вит |Frosty_55"":3,""VAC Appeal Pending"":6,""=Krombopulous_MYKL="":1,""=AngeloDeLaMЖrte_tv="":3}","{""=Q="":1,""Swift"":1,""Widow"":2,""Rob491"":1,""Theone"":4,""Taylorr"":1,""Ж exel"":3,""=Blendy="":4,""D' Bearz"":1,""Ж gibbs"":2,""Ж | B3n"":3,""DeathVice"":1,""Ξ nators"":1,""=Wurlstar="":2,""More Ghana"":1,""=LordBarst="":2,""PyrochemЖst"":6,""SolarEclipse"":1,""Vomit Coffin"":8,""=Alotta Bush="":4,""WinnableSleet"":1,""вит | REAP"":3,""=LordFarquaad="":2,""Cpl. NutBender"":3,""I_NoScoped_JFK"":1,""MitchellBoomin."":5,""=BootySmasher69="":2,""=Gatrick Swayze="":1,""вит | Archytek"":4,""вит |Frosty_55"":4,""VAC Appeal Pending"":2,""=Krombopulous_MYKL="":4,""Ж︎ | Itz Noble55"":2,""=AngeloDeLaMЖrte_tv="":5}","636","780","520","760","{""M1 GARAND"":86,""MK2 GRENADE"":2}","{""MG42"":2,""MP40"":1,""STG44"":6,""FG42 x4"":2,""SATCHEL"":1,""GEWEHR 43"":28,""KARABINER 98K"":4,""M43 STIELHANDGRANATE"":1,""150MM HOWITZER [sFH 18]"":4,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""COAXIAL MG34 [Sd.Kfz.234 Puma]"":1,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":1,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1}"
"76561198348103342","I_NoScoped_JFK","69","58","1.19","9","0.81","0.68","6","1","2","1","293","16","{""Toose"":2,""Sneaky"":1,""Ξ 1200"":3,""Ξ KapN"":3,""Ξ Fligg"":1,""Ξ Relic"":1,""Ξ mikee"":1,""Ξ nacho"":4,""Ξ Burger"":1,""Ξ jaeger"":7,""Ξ rupert"":1,""Ξ Smearin"":1,""Ξ jonaZzz"":1,""FreezingTaz"":1,""TΞxasToast"":1,""Ξ Adam1776"":2,""Ξ Fignaldo"":1,""Ξ Habanero"":6,""Ξ TaMaT Ξ"":1,""Ξ PaaaRADOX"":4,""Ξ Shaka Zulu"":5,""Ξ Megumi Kato"":1,""Ξ HiSpeedHilly"":1,""Ξ SaintPepsi94"":2,""CHMA | Centurion"":1,""Ξ Boomer Sooner"":1,""Ξ WomanRepellent"":2,""♡GΞN♡ TaKaHara ツ"":2}","{""Never"":3,""Toose"":2,""Ξ .44"":2,""soLucky"":1,""Ξ 1200"":1,""Ξ KapN"":5,""Ξ Kiwi"":2,""Ξ Koga"":3,""= Boojaj"":1,""Ξ 14GWR"":2,""Ξ T_RAH"":2,""Ξ nacho"":1,""Ξ Inchon"":1,""Ξ jaeger"":10,""Ξ rupert"":4,""Ξ Smearin"":1,""TΞxasToast"":3,""Ξ Adam1776"":2,""Ξ Fignaldo"":3,""Ξ TaMaT Ξ"":5,""Ξ PaaaRADOX"":2,""Ξ Digishadow"":1,""Ξ Shaka Zulu"":1,""Ξ HiSpeedHilly"":1,""CHMA | Centurion"":1,""Ξ Boomer Sooner"":1,""『V』VonMackΞnsen"":2,""♡GΞN♡ TaKaHara ツ"":6}","522","875","980","160","{""GEWEHR 43"":68,""M43 STIELHANDGRANATE"":1}","{""BAZOOKA"":1,""SATCHEL"":1,""M1 GARAND"":33,""COLT M1911"":1,""M1 CARBINE"":2,""BOMBING RUN"":2,""M1918A2 BAR"":1,""MK2 GRENADE"":3,""BROWNING M1919"":1,""M97 TRENCH GUN"":1,""M1903 SPRINGFIELD"":3,""155MM HOWITZER [M114]"":6,""M6 37mm [M8 Greyhound]"":2,""75MM CANNON [Sherman M4A3(75)W]"":1}"
"76561199636267887","=Alotta Bush=","41","70","0.59","6","0.48","0.82","11","0","1","1","260","17","{""Toose"":2,""eyzmin"":1,""Ξ .44"":1,""Nosoren"":4,""soLucky"":1,""Ξ 1200"":1,""Ξ Kiwi"":1,""Ξ Koga"":1,""= Boojaj"":1,""Leeps011"":5,""Ξ Fligg"":2,""Ξ Relic"":1,""Ξ T_RAH"":1,""Ξ mikee"":1,""Ξ rupert"":3,""Ξ Smearin"":4,""Ξ jonaZzz"":3,""FreezingTaz"":4,""TΞxasToast"":3,""Ξ Fignaldo"":3,""Ξ Habanero"":4,""Ξ TaMaT Ξ"":2,""Ξ UsRanger"":2,""Ξ PaaaRADOX"":2,""Ξ Digishadow"":2,""Ξ HITMANAlex"":2,""Ξ Shaka Zulu"":2,""Ξ SaintPepsi94"":1,""Ξ Boomer Sooner"":3,""Ξ WomanRepellent"":1,""『V』VonMackΞnsen"":4,""♡GΞN♡ TaKaHara ツ"":2}","{""Never"":2,""Toose"":3,""eyzmin"":1,""Ξ 1200"":1,""Ξ KapN"":1,""Ξ Kiwi"":1,""Ξ Koga"":1,""= Boojaj"":2,""Leeps011"":4,""Ξ 14GWR"":2,""Ξ Fligg"":2,""Ξ T_RAH"":2,""Ξ Inchon"":2,""Ξ jaeger"":2,""Ξ jonaZzz"":1,""TΞxasToast"":1,""Ξ Fignaldo"":1,""Ξ Digishadow"":1,""Ξ HITMANAlex"":2,""Ξ Shaka Zulu"":1,""Ξ Megumi Kato"":1,""Ξ HiSpeedHilly"":1,""CHMA | Centurion"":1,""Ξ Boomer Sooner"":2,""『V』VonMackΞnsen"":3}","309","395","680","280","{""STG44"":11,""GEWEHR 43"":30}","{""BAZOOKA"":1,""UNKNOWN"":1,""M1 GARAND"":39,""COLT M1911"":2,""M1 CARBINE"":4,""M2 AP MINE"":1,""BOMBING RUN"":1,""M1918A2 BAR"":2,""MK2 GRENADE"":1,""M1A1 THOMPSON"":6,""BROWNING M1919"":2,""M1903 SPRINGFIELD"":1,""155MM HOWITZER [M114]"":4,""M6 37mm [M8 Greyhound]"":1,""COAXIAL M1919 [M8 Greyhound]"":1,""75MM CANNON [Sherman M4A3(75)W]"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":2}"
"76561198004786685","soLucky","65","41","1.59","7","0.76","0.48","6","0","1","1","357","19","{""=Q="":4,""Widow"":4,""Theone"":1,""=Caono="":2,""Ж exel"":3,""Mccraith"":1,""DeathVice"":3,""Vomit Coffin"":1,""Cpl. NutBender"":1,""I_NoScoped_JFK"":1,""Ж︎ | =KaPk="":4,""=Twisted Cards="":1,""MitchellBoomin."":4,""Ж︎ | =Klink="":5,""вит |Frosty_55"":1,""Ж︎ | Itz Noble55"":1,""=AngeloDeLaMЖrte_tv="":1,""вит | Phat_Cheeks57"":3}","{""=Q="":4,""Swift"":1,""Widow"":2,""Rob491"":1,""Theone"":1,""Will b"":1,""=Caono="":1,""Ж exel"":1,""Mccraith"":1,""Ж gibbs"":1,""Ж | B3n"":1,""DeathVice"":2,""Ξ nators"":1,""=Wurlstar="":2,""More Ghana"":1,""父 =Hodgy="":1,""PyrochemЖst"":2,""SolarEclipse"":1,""Vomit Coffin"":1,""=Alotta Bush="":1,""=LordFarquaad="":3,""Cpl. NutBender"":1,""Ж︎ | =KaPk="":10,""MitchellBoomin."":6,""Ж︎ | =Klink="":1,""=BootySmasher69="":1,""=Gatrick Swayze="":1,""вит |Frosty_55"":3,""Ж︎ | Itz Noble55"":3,""=AngeloDeLaMЖrte_tv="":1,""вит | Phat_Cheeks57"":8}","487","926","560","760","{""M1 GARAND"":64,""MK2 GRENADE"":1}","{""MG42"":3,""MP40"":1,""STG44"":6,""S-MINE"":1,""FG42 x4"":4,""GEWEHR 43"":22,""M2 AP MINE"":1,""PANZERSCHRECK"":2,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1}"
"76561198845441066","Ξ Shaka Zulu","82","46","1.78","12","0.96","0.54","4","1","1","1","340","-123","{""=Q="":1,""Widow"":6,""Theone"":1,""fatkid"":5,""=Caono="":1,""Taylorr"":1,""=Blendy="":1,""D' Bearz"":1,""DeathVice"":1,""=Krusader="":1,""=Wurlstar="":4,""More Ghana"":1,""=Alotta Bush="":1,""=LordFarquaad="":2,""Cpl. NutBender"":1,""I_NoScoped_JFK"":1,""Ж︎ | =KaPk="":1,""Ж︎ | =Klink="":6,""=BootySmasher69="":1,""=Gatrick Swayze="":1,""вит | Archytek"":1,""Ж︎ | Itz Noble55"":2,""=AngeloDeLaMЖrte_tv="":1,""вит | Phat_Cheeks57"":2,""Ξ вит | Comrade Grimm"":2}","{""=Q="":1,""Swift"":1,""Widow"":7,""=Corn="":1,""Theone"":3,""Tomato"":2,""Will b"":1,""fatkid"":3,""Mccraith"":2,""Ж gibbs"":1,""Ж | B3n"":1,""=M4ILBOX="":1,""Ξ nators"":3,""=Wurlstar="":5,""More Ghana"":2,""=LordBarst="":1,""PyrochemЖst"":3,""Vomit Coffin"":5,""=Alotta Bush="":2,""вит | REAP"":1,""=LordFarquaad="":3,""Cpl. NutBender"":5,""I_NoScoped_JFK"":5,""MitchellBoomin."":4,""Ж︎ | =Klink="":2,""=BootySmasher69="":2,""=Gatrick Swayze="":1,""VAC Appeal Pending"":4,""=Krombopulous_MYKL="":6,""Ж︎ | Itz Noble55"":2,""=AngeloDeLaMЖrte_tv="":1,""вит | Phat_Cheeks57"":1}","628","3045","300","940","{""BAZOOKA"":1,""SATCHEL"":1,""M1 GARAND"":46,""M1918A2 BAR"":21,""MK2 GRENADE"":6,""M1A1 THOMPSON"":3,""M3 GREASE GUN"":4}","{""MG42"":1,""MP40"":3,""STG44"":9,""FG42 x4"":5,""SATCHEL"":2,""GEWEHR 43"":21,""KARABINER 98K"":2,""150MM HOWITZER [sFH 18]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":2}"
"76561199150554568","=LordBarst=","19","53","0.36","3","0.22","0.62","11","1","0","0","349","24","{""Never"":2,""Toose"":1,""Ξ 1200"":2,""Ξ Kiwi"":1,""Ξ Koga"":2,""Ξ Apolo"":1,""Ξ Fligg"":4,""Ξ T_RAH"":2,""Ξ nacho"":1,""Ξ Burger"":2,""Ξ jaeger"":1,""Ξ rupert"":3,""Ξ Smearin"":2,""FreezingTaz"":2,""TΞxasToast"":1,""Ξ Fignaldo"":2,""Ξ Habanero"":3,""Ξ TaMaT Ξ"":2,""Ξ UsRanger"":2,""Ξ Shaka Zulu"":1,""Ξ HiSpeedHilly"":7,""Ξ SaintPepsi94"":2,""Ξ Boomer Sooner"":4,""♡GΞN♡ TaKaHara ツ"":3}","{""Never"":1,""Toose"":1,""Ξ 1200"":2,""Ξ Fligg"":2,""Ξ T_RAH"":2,""Ξ nacho"":1,""Ξ jaeger"":1,""Ξ rupert"":1,""Ξ TaMaT Ξ"":1,""Ξ HiSpeedHilly"":4,""Ξ Boomer Sooner"":3}","142","906","1200","0","{""GEWEHR 43"":19}","{""M1 GARAND"":26,""COLT M1911"":1,""M1 CARBINE"":4,""M2 AP MINE"":1,""M1918A2 BAR"":1,""MK2 GRENADE"":1,""M1A1 THOMPSON"":2,""M3 GREASE GUN"":2,""BROWNING M1919"":4,""M1903 SPRINGFIELD"":8,""155MM HOWITZER [M114]"":3}"
"76561198038980722","Ξ HITMANAlex","23","77","0.3","3","0.27","0.9","16","0","5","2","175","20","{""=Q="":1,""Swift"":2,""Widow"":5,""Theone"":5,""Ж exel"":3,""=Blendy="":1,""D' Bearz"":4,""Mccraith"":2,""Ж | B3n"":1,""DeathVice"":3,""Ξ nators"":1,""=Krusader="":2,""=Wurlstar="":3,""Buttspoons"":3,""SolarEclipse"":1,""Vomit Coffin"":6,""=Alotta Bush="":2,""вит | REAP"":3,""=LordFarquaad="":1,""Cpl. NutBender"":2,""=Twisted Cards="":1,""MitchellBoomin."":2,""=BootySmasher69="":9,""=Gatrick Swayze="":1,""вит | Archytek"":2,""вит |Frosty_55"":1,""VAC Appeal Pending"":3,""=Krombopulous_MYKL="":2,""=AngeloDeLaMЖrte_tv="":3,""вит | Phat_Cheeks57"":2}","{""=Q="":1,""Taylorr"":1,""Ж exel"":1,""Mccraith"":1,""Ж gibbs"":1,""Ж | B3n"":1,""More Ghana"":1,""PyrochemЖst"":2,""Vomit Coffin"":2,""=Alotta Bush="":2,""=BootySmasher69="":5,""=Gatrick Swayze="":2,""вит | Archytek"":1,""VAC Appeal Pending"":1,""=Krombopulous_MYKL="":1}","149","2870","300","660","{""COLT M1911"":23}","{""MG42"":3,""MP40"":2,""STG44"":26,""FG42 x4"":3,""SATCHEL"":1,""GEWEHR 43"":28,""LUGER P08"":1,""KARABINER 98K"":5,""M43 STIELHANDGRANATE"":1,""150MM HOWITZER [sFH 18]"":2,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""COAXIAL MG34 [Sd.Kfz.234 Puma]"":1,""HULL MG34 [Sd.Kfz.181 Tiger 1]"":2,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1}"
"76561198982716760","WinnableSleet","37","11","3.36","20","0.43","0.13","3","2","0","0","1778","80","{""Joh"":1,""Nosoren"":2,""Ξ Relic"":1,""Ξ Smearin"":1,""Ξ jonaZzz"":1,""Ξ UsRanger"":1,""Ξ Megumi Kato"":1,""Ξ HiSpeedHilly"":2,""Ξ SaintPepsi94"":1}","{""Joh"":1,""Sneaky"":2,""eyzmin"":1,""Nosoren"":1,""Ξ KapN"":2,""Ξ Kiwi"":2,""Leeps011"":1,""Ξ Excel"":2,""Ξ Fligg"":1,""Ξ Relic"":1,""Ξ T_RAH"":3,""Ξ mikee"":2,""Ξ Burger"":1,""Ξ jaeger"":1,""Ξ Smearin"":1,""Ξ jonaZzz"":1,""FreezingTaz"":1,""Ξ Adam1776"":2,""Ξ UsRanger"":2,""Ξ Marsrover"":2,""Ξ Megumi Kato"":1,""Ξ HiSpeedHilly"":1,""Ξ SaintPepsi94"":1,""Ξ Sergeantfupa"":1,""CHMA | Centurion"":1,""『V』VonMackΞnsen"":1,""♡GΞN♡ TaKaHara ツ"":1}","804","5","1440","60","{""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":2,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":17,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":13,""COAXIAL MG34 [Sd.Kfz.161 Panzer IV]"":5}","{""BAZOOKA"":2,""SATCHEL"":2,""M1 GARAND"":2,""M1918A2 BAR"":2,""76MM M1 GUN [Sherman M4A3E2(76)]"":3}"
"76561198303363796","SolarEclipse","17","21","0.81","9","0.2","0.25","10","1","0","0","968","18","{""Joh"":2,""Never"":1,""eyzmin"":1,""Ξ .44"":1,""Nosoren"":2,""soLucky"":1,""Ξ KapN"":2,""Leeps011"":1,""Ξ Relic"":1,""Ξ T_RAH"":1,""Ξ rupert"":1,""Ξ Smearin"":1,""FreezingTaz"":1,""Ξ Adam1776"":2,""Ξ Sergeantfupa"":1,""CHMA | Centurion"":1,""Ξ Boomer Sooner"":1}","{""Toose"":1,""Ξ 1200"":2,""Ξ KapN"":1,""Ξ Kiwi"":1,""Ξ Apolo"":1,""Ξ Fligg"":1,""Ξ T_RAH"":1,""Ξ Inchon"":1,""Ξ Smearin"":1,""Ξ jonaZzz"":3,""TΞxasToast"":1,""Ξ HITMANAlex"":1,""Ξ Megumi Kato"":1,""『V』VonMackΞnsen"":1}","359","205","1140","160","{""MP40"":1,""WALTHER P38"":1,""KARABINER 98K"":3,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":8,""HULL MG34 [Sd.Kfz.181 Tiger 1]"":3,""COAXIAL MG34 [Sd.Kfz.121 Luchs]"":1}","{""BAZOOKA"":2,""SATCHEL"":1,""M1 GARAND"":10,""M1 CARBINE"":1,""MK2 GRENADE"":1,""M6 37mm [M8 Greyhound]"":1,""HULL M1919 [Sherman M4A3E2(76)]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":4}"
"76561198018670606","Joh","32","4","8","20","0.38","0.05","2","1","0","0","2060","559","{""WinnableSleet"":1,""вит | REAP"":1,""Ж︎ | =KaPk="":1,""Ξ вит | Comrade Grimm"":1}","{""Widow"":2,""=Corn="":1,""Tomato"":1,""fatkid"":1,""Taylorr"":1,""Ж exel"":1,""=Blendy="":1,""D' Bearz"":2,""Ж gibbs"":1,""Ж | B3n"":1,""Ξ nators"":1,""Buttspoons"":1,""More Ghana"":2,""父 =Hodgy="":1,""SolarEclipse"":2,""WinnableSleet"":1,""=LordFarquaad="":3,""Cpl. NutBender"":2,""=Twisted Cards="":1,""Ж︎ | =Klink="":2,""=BootySmasher69="":1,""=Gatrick Swayze="":1,""вит |Frosty_55"":1,""Ж︎ | Itz Noble55"":1}","654","75","1240","380","{""76MM M1 GUN [Sherman M4A3E2(76)]"":29,""COAXIAL M1919 [Sherman M4A3E2(76)]"":3}","{""SATCHEL"":1,""PANZERSCHRECK"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":2}"
