"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561198844383640","=Caono=","14","19","0.74","5","0.16","0.22","5","0","0","0","1370","40","{""iCon"":2,""Grink"":1,""Bizbaz"":2,""Dundee"":1,""cooked"":1,""Campofez"":1,""• FADER"":3,""GBI • Ham"":1,""GBI • LIFE"":1,""GBI • perpy"":1,""GBI • Adjalon"":4,""GBI • Readyfishy ⊙"":1}","{""iCon"":1,""Grink"":1,""Bizbaz"":1,""• FADER"":3,""GBI • Ham"":1,""GBI • Baaa"":2,""GBI • Adjalon"":2,""SNAK THE RIPPER"":3}","150","1309","480","1060","{""GEWEHR 43"":14}","{""M1 GARAND"":14,""M1 CARBINE"":1,""BROWNING M1919"":2,""155MM HOWITZER [M114]"":1,""M6 37mm [M8 Greyhound]"":1}"
"76561199150554568","=LordBarst=","36","56","0.64","4","0.42","0.66","4","0","0","0","225","23","{""murray"":3,""Campofez"":1,""SnowMans"":7,""• FADER"":2,""》Sherby"":11,""GBI • Ham"":3,""GBI • Baaa"":4,""GBI • BRICK"":2,""GBI • MUG..."":3,""GBI • SaMryn"":8,""GBI • Adjalon"":7,""SNAK THE RIPPER"":2,""GBI • Readyfishy ⊙"":2,""Ιπτάμενος Δόγης ☂"":1}","{""37A"":1,""Punkim"":1,""murray"":3,""SnowMans"":1,""》Sherby"":4,""GBI • Ham"":3,""GBI • Baaa"":10,""GBI • MUG..."":1,""GBI • SaMryn"":2,""GBI • Adjalon"":5,""GBI • Readyfishy ⊙"":4,""Ιπτάμενος Δόγης ☂"":1}","367","936","700","500","{""GEWEHR 43"":36}","{""M1 GARAND"":46,""M1918A2 BAR"":1,""M1A1 THOMPSON"":1,""BROWNING M1919"":8}"
"76561198867986795","GBI-DODGED-APL-DIV1","78","71","1.1","10","0.91","0.83","5","0","1","1","371","17","{""HaZ"":4,""flowz"":3,""Blue V"":1,""Brutal"":4,""Dundee"":4,""murray"":1,""T'chami"":1,""Campofez"":7,""SnowMans"":2,""TeReaper"":3,""RedCordial"":1,""GBI • Baaa"":1,""JΞSTAZ•13"":2,""help Trolley"":3,""Ж | GasMask"":3,""阳光少校"":2,""GBI • BOJAK"":3,""GBI • BRICK"":1,""GBI • Richy"":2,""GBI • Tozzy"":4,""GBI • perpy"":3,""GBI • MUG..."":1,""GBI • SaMryn"":2,""SNAK THE RIPPER"":1,""Blackasaurus Rex"":2,""GBI • Donald Pump"":1,""GBI • RectumRipper"":5,""GBI • 🅼🅴🅻🅻🅾🆆"":1,""Ιπτάμενος Δόγης ☂"":3}","{""HaZ"":2,""flowz"":3,""terry"":1,""Bizbaz"":3,""Blue V"":3,""Brutal"":5,""murray"":1,""Campofez"":2,""TeReaper"":3,""》Sherby"":1,""GBI • LIFE"":1,""JΞSTAZ•13"":6,""WestCarolina"":2,""help Trolley"":3,""Ж | GasMask"":3,""GBI • BOJAK"":3,""GBI • Richy"":2,""GBI • Tozzy"":9,""GBI • perpy"":5,""GBI • MUG..."":2,""SNAK THE RIPPER"":1,""GBI • Donald Pump"":4,""GBI • RectumRipper"":4,""CHW∀ | Hiddeninshadows"":3,""GBI • 🅼🅴🅻🅻🅾🆆"":4,""Ιπτάμενος Δόγης ☂"":2}","769","50","480","580","{""STG44"":26,""S-MINE"":1,""FG42 x4"":45,""GEWEHR 43"":5,""KARABINER 98K"":1}","{""BAZOOKA"":2,""M3 KNIFE"":1,""M1 GARAND"":49,""MK2 GRENADE"":1,""M3 GREASE GUN"":1,""BROWNING M1919"":4,""M97 TRENCH GUN"":1,""M1903 SPRINGFIELD"":3,""155MM HOWITZER [M114]"":4,""57MM CANNON [M1 57mm]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":3,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1}"
"76561198352672635","Will b","13","6","2.17","6","0.15","0.07","2","4","1","1","2297","149","{""flowz"":1,""T'chami"":1,""JΞSTAZ•13"":1,""Ж | GasMask"":1,""GBI • Tozzy"":1,""CHW∀ | Hiddeninshadows"":1}","{""iCon"":1,""flowz"":1,""terry"":1,""TeReaper"":1,""JΞSTAZ•13"":2,""阳光少校"":1,""GBI • BOJAK"":1,""GBI • Richy"":1,""GBI • Tozzy"":1,""喵喵 猫猫"":1,""未央意阑珊"":1,""Ιπτάμενος Δόγης ☂"":1}","215","5066","1580","60","{""GEWEHR 43"":3,""BOMBING RUN"":4,""STRAFING RUN"":3,""PRECISION STRIKE"":3}","{""M1 GARAND"":3,""M1903 SPRINGFIELD"":1,""37MM CANNON [Stuart M5A1]"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1}"
"76561199213327186","вит | Phat_Cheeks57","35","72","0.49","7","0.41","0.84","10","0","1","1","330","21","{""HaZ"":3,""flowz"":2,""terry"":3,""Brutal"":3,""Dundee"":15,""cooked"":2,""T'chami"":1,""Campofez"":3,""SnowMans"":1,""TeReaper"":1,""RedCordial"":3,""WestCarolina"":1,""help Trolley"":6,""Ж | GasMask"":1,""阳光少校"":4,""GBI • BOJAK"":2,""GBI • Richy"":1,""GBI • Tozzy"":1,""GBI • perpy"":1,""喵喵 猫猫"":1,""GBI • MUG..."":2,""GBI • SaMryn"":3,""Blackasaurus Rex"":3,""GBI • Donald Pump"":2,""GBI • RectumRipper"":1,""CHW∀ | Hiddeninshadows"":2,""GBI • 🅼🅴🅻🅻🅾🆆"":1,""Ιπτάμενος Δόγης ☂"":3}","{""HaZ"":1,""iCon"":1,""flowz"":1,""terry"":4,""Blue V"":2,""Kectus"":1,""cooked"":1,""Campofez"":1,""TeReaper"":1,""GBI • Baaa"":1,""JΞSTAZ•13"":1,""WestCarolina"":2,""help Trolley"":4,""Ж | GasMask"":2,""GBI • Richy"":1,""GBI • Tozzy"":1,""GBI • perpy"":3,""GBI • Donald Pump"":2,""GBI • RectumRipper"":1,""CHW∀ | Hiddeninshadows"":2,""GBI • 🅼🅴🅻🅻🅾🆆"":1,""Ιπτάμενος Δόγης ☂"":1}","360","130","380","620","{""MG42"":34,""LUGER P08"":1}","{""SATCHEL"":1,""M1 GARAND"":33,""M1 CARBINE"":1,""M1918A2 BAR"":1,""M3 GREASE GUN"":3,""BROWNING M1919"":8,""M1903 SPRINGFIELD"":1,""155MM HOWITZER [M114]"":15,""HULL M1919 [Stuart M5A1]"":1,""37MM CANNON [Stuart M5A1]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":6,""COAXIAL M1919 [Sherman M4A3(75)W]"":1}"
"76561198122717933","Ιπτάμενος Δόγης ☂","77","63","1.22","9","0.9","0.74","5","0","1","1","273","16","{""DJ"":9,""B3n"":5,""Xan"":4,""Rath"":2,""Slug"":2,""exel"":1,""Widow"":2,""Will b"":1,""fatkid"":3,""Krusader"":2,""LastLight"":1,""MrKravs33"":1,""TheeЖone"":1,""=LordBarst="":1,""Alotta Bush"":1,""Crazy_boots"":3,""Vomit Coffin"":2,""WinnableSleet"":1,""вит | REAP"":3,""Bespokeparasite"":1,""=BootySmasher69="":10,""вит |Frosty_55"":1,""GBI-DODGED-APL-DIV1"":2,""Toggling Smoke Filters"":2,""вит | Phat_Cheeks57"":1,""вит | MitchellBoomin."":1}","{""B3n"":2,""Xan"":4,""exel"":3,""kapk"":2,""Swift"":2,""Widow"":4,""fatkid"":3,""Krusader"":1,""=M4ILBOX="":3,""DeathVice"":2,""MrKravs33"":4,""TheeЖone"":4,""=Wurlstar="":2,""=LordBarst="":1,""Alotta Bush"":1,""Bobothemonk"":2,""Crazy_boots"":4,""TheNutBender"":1,""Vomit Coffin"":6,""вит | REAP"":1,""=PrinceCoyote="":2,""=BootySmasher69="":4,""вит |Frosty_55"":2,""=Krombopulous_MYKL="":4,""GBI-DODGED-APL-DIV1"":3,""Rob The True Aussie"":2,""Toggling Smoke Filters"":2,""вит | Phat_Cheeks57"":3,""вит | YoukonCornelius"":3}","768","225","900","240","{""M1 GARAND"":49,""M1918A2 BAR"":19,""M6 37mm [M8 Greyhound]"":9}","{""MG42"":9,""MP40"":3,""STG44"":7,""FG42 x4"":2,""SATCHEL"":2,""GEWEHR 43"":20,""STRAFING RUN"":1,""KARABINER 98K"":4,""PANZERSCHRECK"":1,""150MM HOWITZER [sFH 18]"":9,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""HULL MG34 [Sd.Kfz.181 Tiger 1]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":3}"
"76561199219581519","WestCarolina","8","51","0.16","2","0.09","0.6","17","0","0","0","409","34","{""DJ"":4,""B3n"":1,""Rath"":4,""Slug"":3,""Widow"":3,""Ralfus"":1,""Krusader"":6,""〢BuИk"":1,""DeathVice"":5,""=Wurlstar="":1,""Alotta Bush"":4,""TheNutBender"":4,""WinnableSleet"":1,""Bespokeparasite"":3,""GBI-DODGED-APL-DIV1"":2,""Toggling Smoke Filters"":3,""вит | Phat_Cheeks57"":2,""вит | MitchellBoomin."":1,""вит | YoukonCornelius"":2}","{""Widow"":2,""Ralfus"":1,""=Njordin="":1,""CHMA > GBI"":1,""Bespokeparasite"":1,""вит | Phat_Cheeks57"":1,""вит | YoukonCornelius"":1}","89","485","960","180","{""M1 CARBINE"":8}","{""MG42"":14,""MP40"":2,""STG44"":6,""FG42 x4"":1,""GEWEHR 43"":14,""KARABINER 98K"":3,""150MM HOWITZER [sFH 18]"":4,""HULL MG34 [Sd.Kfz.181 Tiger 1]"":2,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":2,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":2}"
"76561198148079712","GBI • BRICK","72","48","1.5","9","0.88","0.59","6","0","1","1","274","25","{""DJ"":10,""B3n"":9,""Xan"":2,""Slug"":1,""exel"":1,""fatkid"":4,""LastLight"":2,""MrKravs33"":1,""=Wurlstar="":1,""CHMA > GBI"":1,""Alotta Bush"":2,""ShadowFetus"":3,""TheNutBender"":1,""Vomit Coffin"":3,""вит |Frosty_55"":1,""Rob The True Aussie"":1,""not an alt (or merc)"":1,""Toggling Smoke Filters"":2,""вит | YoukonCornelius"":2}","{""B3n"":5,""Xan"":4,""exel"":6,""kapk"":2,""Widow"":2,""fatkid"":3,""〢BuИk"":2,""=M4ILBOX="":2,""MrKravs33"":1,""TheeЖone"":6,""=LordBarst="":2,""Crazy_boots"":4,""Vomit Coffin"":9,""вит | REAP"":6,""=PrinceCoyote="":3,""=BootySmasher69="":3,""вит | Ventil8"":2,""вит |Frosty_55"":1,""=Krombopulous_MYKL="":2,""GBI-DODGED-APL-DIV1"":1,""Rob The True Aussie"":1,""Toggling Smoke Filters"":1,""вит | YoukonCornelius"":4}","695","985","940","240","{""M1 GARAND"":70,""MK2 GRENADE"":2}","{""MG42"":10,""MP40"":3,""STG44"":1,""S-MINE"":1,""FG42 x4"":2,""SATCHEL"":1,""GEWEHR 43"":15,""KARABINER 98K"":1,""150MM HOWITZER [sFH 18]"":10,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":1,""COAXIAL MG34 [Sd.Kfz.121 Luchs]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1}"
"76561198845648379","阳光少校","106","2","53","99","1.22","0.02","1","1","1","1","3264","252","{""Will b"":1,""WinnableSleet"":1}","{""Xan"":3,""Rath"":5,""Slug"":2,""exel"":8,""Swift"":1,""Widow"":2,""Ralfus"":3,""fatkid"":1,""Krusader"":3,""〢BuИk"":3,""=Njordin="":4,""TheeЖone"":2,""CHMA > GBI"":1,""Alotta Bush"":8,""Bobothemonk"":3,""Crazy_boots"":9,""WhiskyPilot"":1,""TheNutBender"":2,""Vomit Coffin"":2,""WinnableSleet"":1,""=PrinceCoyote="":2,""Bespokeparasite"":1,""GBI APL D2 CHAMPS"":1,""вит |Frosty_55"":8,""=Krombopulous_MYKL="":4,""GBI-DODGED-APL-DIV1"":2,""not an alt (or merc)"":2,""Toggling Smoke Filters"":2,""вит | Phat_Cheeks57"":4,""вит | MitchellBoomin."":6,""вит | YoukonCornelius"":10}","1477","335","1420","180","{""37MM CANNON [Stuart M5A1]"":34,""COAXIAL M1919 [Stuart M5A1]"":11,""76MM M1 GUN [Sherman M4A3E2(76)]"":49,""COAXIAL M1919 [Sherman M4A3E2(76)]"":12}","{""PRECISION STRIKE"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1}"
"76561198436493036","murray","72","55","1.31","14","0.84","0.64","5","0","2","1","299","19","{""DJ"":2,""B3n"":10,""kapk"":2,""fatkid"":4,""〢BuИk"":1,""=Njordin="":1,""MrKravs33"":6,""TheeЖone"":1,""=Wurlstar="":3,""=LordBarst="":3,""Bobothemonk"":1,""Crazy_boots"":1,""Vomit Coffin"":8,""WinnableSleet"":1,""вит | REAP"":3,""=BootySmasher69="":5,""GBI-DODGED-APL-DIV1"":1,""not an alt (or merc)"":2}","{""B3n"":3,""Xan"":1,""kapk"":6,""Swift"":2,""fatkid"":5,""〢BuИk"":2,""=M4ILBOX="":3,""DeathVice"":1,""MrKravs33"":4,""TheeЖone"":2,""=Wurlstar="":5,""=LordBarst="":3,""Bobothemonk"":1,""Crazy_boots"":2,""Vomit Coffin"":12,""вит | REAP"":2,""=BootySmasher69="":10,""вит |Frosty_55"":1,""GBI-DODGED-APL-DIV1"":1,""Rob The True Aussie"":2,""вит | MitchellBoomin."":1,""вит | YoukonCornelius"":3}","656","1582","1000","260","{""M1 GARAND"":71,""MK2 GRENADE"":1}","{""MG42"":16,""MP40"":4,""STG44"":7,""SATCHEL"":1,""GEWEHR 43"":19,""KARABINER 98K"":2,""PANZERSCHRECK"":1,""150MM HOWITZER [sFH 18]"":2,""COAXIAL MG34 [Sd.Kfz.234 Puma]"":1,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1}"
