"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561198003264639","The Goomotrain","0","0","0","0","0","0","0","0","0","0","0","9999","{}","{}","0","0","1700","0","{}","{}"
"76561198076217035","R E A P","50","66","0.76","5","0.6","0.8","14","1","1","1","282","15","{""PUCK"":3,""FLERG"":2,""JЖCK"":2,""Mongo"":4,""Convenant"":1,""Ж | Mage"":7,""✿ Seely"":1,""》Sherby"":2,""нѕ | nes"":3,""Stellar-INF"":3,""Ж | Whiskey"":2,""PapaBearBaker"":2,""Ж | DankNugz"":3,""Ж | OG Panda"":3,""Ж | Tadiktor"":1,""TouchMyGangsta"":4,""Ж | y U h ※"":1,""DooperDupinskie"":1,""Ж︎ | Poptart"":4,""Ж | Eragon123※"":2,""• The China Guy"":1,""Ж | Crystal Claude"":7,""Ж︎ | No Chill Anna"":4,""My Ego > Bad Intentions"":3}","{""."":4,""PUCK"":3,""FLERG"":1,""Mongo"":1,""zesty"":1,""Ж | Wix"":3,""》Sherby"":1,""Stellar-INF"":5,""Ж | Davako"":1,""Ж | Whiskey"":3,""PapaBearBaker"":2,""Ж | DankNugz"":3,""Ж | OG Panda"":3,""Ж︎ | bones"":1,""Ж | y U h ※"":3,""DooperDupinskie"":2,""Ж︎ | Poptart"":1,""• The China Guy"":3,""Ж | Crystal Claude"":7,""Ж︎ | No Chill Anna"":2}","496","505","420","480","{""STG44"":36,""S-MINE"":1,""SATCHEL"":3,""GEWEHR 43"":7,""PANZERSCHRECK"":1,""M43 STIELHANDGRANATE"":2}","{""BAZOOKA"":1,""M1 GARAND"":42,""MK2 GRENADE"":3,""M1A1 THOMPSON"":2,""M3 GREASE GUN"":1,""BROWNING M1919"":6,""M97 TRENCH GUN"":1,""155MM HOWITZER [M114]"":7,""75MM CANNON [Sherman M4A3(75)W]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":2}"
"76561199069215390","=Krombopulous_MYKL=","21","54","0.39","3","0.25","0.65","10","0","0","0","270","13","{""PUCK"":1,""FLERG"":1,""JЖCK"":2,""Large"":3,""Mongo"":2,""zesty"":1,""MUG..."":3,""Ξ Sanzu"":1,""Ж | Wix"":1,""Convenant"":1,""Ж | Mage"":5,""Ж | Rath"":3,""✿ Seely"":2,""》Sherby"":1,""wolf pussy"":2,""нѕ | nes"":1,""нs | Widow"":2,""Ж | Whiskey"":4,""Ж | DankNugz"":1,""Ж | OG Panda"":2,""Ж | Tadiktor"":2,""TouchMyGangsta"":1,""DooperDupinskie"":3,""Ж︎ | Poptart"":3,""Ж | Orangeblack"":1,""Ж | Crystal Claude"":1,""Ж︎ | No Chill Anna"":2,""Ж︎ | -TL- Monster_Corndog"":2}","{""PUCK"":1,""FLERG"":2,""Large"":1,""MUG..."":1,""Ξ Sanzu"":1,""Ж | Rath"":2,""》Sherby"":2,""нs | Widow"":1,""Ж | Whiskey"":1,""Ж | DankNugz"":2,""Ж | OG Panda"":2,""Ж | Tadiktor"":1,""DooperDupinskie"":1,""Ж︎ | Poptart"":1,""Ж | Crystal Claude"":1,""My Ego > Bad Intentions"":1}","204","575","780","280","{""GEWEHR 43"":21}","{""M1 GARAND"":35,""HULL M1919"":1,""M2 AP MINE"":1,""MK2 GRENADE"":2,""BROWNING M1919"":5,""155MM HOWITZER [M114]"":5,""75MM CANNON [Sherman M4A3(75)W]"":2,""76MM M1 GUN [Sherman M4A3E2(76)]"":2,""COAXIAL M1919 [Sherman M4A3(75)W]"":1}"
"76561198147443484","• The China Guy","35","17","2.06","9","0.42","0.21","3","0","1","1","1652","17","{""DJ"":4,""kapk"":2,""Жan"":2,""=Vidar="":1,""R E A P"":3,""=Oresto="":1,""MrKravs33"":1,""WinnableSleet"":1,""=LordFarquaad="":1,""вит | Ventil8"":1}","{""kapk"":5,""Жan"":2,""Swift"":3,""=R3C0N="":1,""R E A P"":1,""=Oresto="":1,""MrKravs33"":1,""=ApachiJr="":1,""=Wurlstar="":3,""WhiskyPilot"":2,""WinnableSleet"":2,""ﾒ Bobothemonk"":3,""ВOTИ | Archytek"":2,""Ξ FreeTheChickens"":1,""в●ти | =exel="":2,""MS | Smurf 我很爛"":3,""Ξ вит | Comrade Grimm"":1,""=Girth Brooks=(THICC)(CLWN)"":1}","426","465","1280","0","{""BAZOOKA"":6,""M1 GARAND"":29}","{""STG44"":2,""S-MINE"":1,""GEWEHR 43"":6,""KARABINER 98K"":3,""150MM HOWITZER [sFH 18]"":4,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":1}"
"76561198056882915","=Girth Brooks=(THICC)(CLWN)","46","64","0.72","7","0.55","0.76","10","0","1","1","226","19","{""PUCK"":3,""FLERG"":3,""Large"":1,""Mongo"":2,""Trots"":2,""zesty"":2,""Ж | 3fm"":1,""Ж | Wix"":1,""Convenant"":3,""Ж | Mage"":9,""Ж | Rath"":1,""》Sherby"":3,""wolf pussy"":1,""нѕ | nes"":1,""Ж | Davako"":1,""Ж | Whiskey"":2,""Ж | DankNugz"":2,""Ж | OG Panda"":3,""Ж︎ | bones"":1,""TouchMyGangsta"":2,""Ж | y U h ※"":1,""DooperDupinskie"":3,""Ж︎ | Poptart"":2,""Ж | Orangeblack"":1,""• The China Guy"":1,""Ж | Crystal Claude"":3,""Ж︎ | No Chill Anna"":6,""My Ego > Bad Intentions"":2,""Ж︎ | -TL- Monster_Corndog"":1}","{""."":3,""PUCK"":5,""FLERG"":2,""Large"":1,""Ж | 3fm"":3,""Convenant"":2,""Ж | Rath"":1,""wolf pussy"":1,""Stellar-INF"":3,""Ж | Davako"":2,""нs | Widow"":1,""PapaBearBaker"":1,""Ж | DankNugz"":1,""Ж | OG Panda"":3,""Ж︎ | bones"":2,""Ж | y U h ※"":1,""DooperDupinskie"":4,""Ж | Eragon123※"":1,""Ж | Crystal Claude"":5,""Ж︎ | No Chill Anna"":2,""My Ego > Bad Intentions"":1,""Ж︎ | -TL- Monster_Corndog"":1}","426","2795","500","440","{""GEWEHR 43"":45,""KARABINER 98K"":1}","{""BAZOOKA"":1,""M1 GARAND"":45,""M1 CARBINE"":1,""M3 GREASE GUN"":1,""TELLERMINE 43"":1,""BROWNING M1919"":4,""155MM HOWITZER [M114]"":9,""HULL M1919 [Sherman M4A3E2(76)]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1}"
"76561198067777046","Ж | OG Panda","45","46","0.98","4","0.54","0.56","5","0","0","0","453","20","{""DJ"":3,""B3n"":4,""kapk"":2,""Will b"":1,""=Caono="":2,""R E A P"":3,""D' Bearz"":1,""MrKravs33"":5,""=Krusader="":4,""=Wurlstar="":2,""airaparent"":1,""=LordBarst="":4,""Capt.Taylor"":1,""WhiskyPilot"":1,""=Just Win Baby="":1,""ﾒ Bobothemonk"":2,""в●ти | =exel="":1,""=Krombopulous_MYKL="":2,""вит | Phat_Cheeks57"":3,""=Girth Brooks=(THICC)(CLWN)"":3}","{""B3n"":1,""kapk"":3,""Ralfus"":1,""=Caono="":2,""=Vidar="":1,""R E A P"":3,""D' Bearz"":1,""MrKravs33"":2,""=Krusader="":1,""=Wurlstar="":5,""airaparent"":1,""=LordBarst="":4,""Capt.Taylor"":2,""Crazy_boots"":1,""WinnableSleet"":1,""ﾒ Bobothemonk"":6,""ВOTИ | Archytek"":2,""=Krombopulous_MYKL="":2,""вит | Phat_Cheeks57"":2,""Ξ вит | Comrade Grimm"":1,""=Girth Brooks=(THICC)(CLWN)"":3}","477","1116","540","700","{""M1 GARAND"":43,""MK2 GRENADE"":2}","{""MG42"":12,""STG44"":4,""FG42 x4"":1,""GEWEHR 43"":21,""KARABINER 98K"":4,""150MM HOWITZER [sFH 18]"":3,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1}"
"76561198142719018","=LordFarquaad=","55","68","0.81","7","0.65","0.81","7","1","2","1","182","18","{""PUCK"":3,""FLERG"":2,""Large"":1,""Mongo"":6,""Trots"":1,""MUG..."":5,""Ξ Sanzu"":5,""Convenant"":3,""Ж | Rath"":1,""✿ Seely"":4,""》Sherby"":6,""wolf pussy"":1,""Ж | Davako"":4,""нs | Widow"":4,""Ж | Whiskey"":1,""PapaBearBaker"":5,""Ж | y U h ※"":1,""DooperDupinskie"":1,""Ж︎ | Poptart"":1,""Ж | wildcard.NS"":2,""Ж | Eragon123※"":3,""Ж | yourmomsmother"":1,""Ж︎ | No Chill Anna"":1,""Ж︎ | Foxhole Norman"":1,""My Ego > Bad Intentions"":1,""Ж︎ | -TL- Monster_Corndog"":4}","{""."":1,""PUCK"":2,""FLERG"":1,""Large"":2,""Mongo"":5,""zesty"":1,""MUG..."":4,""Ξ Sanzu"":4,""Convenant"":2,""Ж | Rath"":1,""✿ Seely"":4,""》Sherby"":2,""Ж | HeiZa"":1,""нѕ | nes"":3,""Stellar-INF"":1,""Ж | Davako"":6,""нs | Widow"":3,""Ж | PiscisK"":1,""Ж | Tadiktor"":1,""Ж︎ | bones"":1,""Ж | Orangeblack"":2,""Ж | wildcard.NS"":2,""Ж | Eragon123※"":1,""• The China Guy"":1,""Ж︎ | Foxhole Norman"":1,""My Ego > Bad Intentions"":1,""Ж︎ | -TL- Monster_Corndog"":1}","693","3000","240","700","{""MP40"":12,""STG44"":10,""S-MINE"":1,""SATCHEL"":7,""GEWEHR 43"":21,""KARABINER 98K"":3,""PANZERSCHRECK"":1}","{""BAZOOKA"":1,""M1 GARAND"":57,""BROWNING M1919"":8,""HULL M1919 [Sherman M4A3E2(76)]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1}"
"76561199150554568","=LordBarst=","18","35","0.51","2","0.21","0.42","5","0","1","1","470","23","{""PUCK"":1,""JЖCK"":1,""Large"":1,""zesty"":5,""Ξ Sanzu"":1,""Convenant"":1,""wolf pussy"":1,""нѕ | nes"":2,""нs | Widow"":1,""Ж | PiscisK"":4,""Ж | Whiskey"":1,""Ж | OG Panda"":4,""TouchMyGangsta"":3,""DooperDupinskie"":2,""Ж︎ | Poptart"":2,""Ж | wildcard.NS"":1,""Ж | Crystal Claude"":1,""My Ego > Bad Intentions"":2,""Ж︎ | -TL- Monster_Corndog"":1}","{""Ж | Rath"":1,""wolf pussy"":1,""Stellar-INF"":2,""Ж | PiscisK"":1,""Ж | Whiskey"":3,""Ж | OG Panda"":4,""My Ego > Bad Intentions"":6}","204","1009","1240","60","{""GEWEHR 43"":18}","{""UNKNOWN"":1,""M1 GARAND"":27,""BROWNING M1919"":5,""37MM CANNON [Stuart M5A1]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1}"
"76561198082028835","ULFBERHT","1","15","0.07","1","0.01","0.18","13","0","0","0","1106","30","{""FLERG"":1,""JЖCK"":3,""Trots"":1,""Ξ Sanzu"":1,""Everblack"":1,""Ж | Mage"":2,""✿ Seely"":1,""Ж | Davako"":1,""Ж | Tadiktor"":2,""Ж | Crystal Claude"":1,""Ж︎ | -TL- Monster_Corndog"":1}","{""Ж | 3fm"":1}","272","40","1100","360","{""Sd.Kfz.121 Luchs"":1}","{""BAZOOKA"":2,""M1 GARAND"":3,""BROWNING M1919"":1,""PRECISION STRIKE"":1,""155MM HOWITZER [M114]"":2,""75MM CANNON [Sherman M4A3(75)W]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":5}"
"76561197960399869","Ж | 3fm","3","15","0.2","2","0.04","0.18","9","1","2","1","1640","20","{""DJ"":3,""=Oresto="":1,""ULFBERHT"":1,""MrKravs33"":2,""Crazy_boots"":1,""ﾒ Bobothemonk"":2,""MS | Smurf 我很爛"":2,""=Girth Brooks=(THICC)(CLWN)"":3}","{""D' Bearz"":1,""ﾒ Bobothemonk"":1,""=Girth Brooks=(THICC)(CLWN)"":1}","26","543","1500","0","{""M1 GARAND"":3}","{""STG44"":1,""GEWEHR 43"":8,""KARABINER 98K"":2,""Sd.Kfz.121 Luchs"":1,""150MM HOWITZER [sFH 18]"":3}"
