"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561198006179280","メ Free Wendy Williams","0","7","0","0","0","0.08","7","0","0","0","1715","96","{""LastLight"":1,""Ξ Bonzoo"":1,""Ж︎ | =Ikea="":3,""Ж︎ | =Klink="":1,""ВOTИ | Dr.DickRespect"":1}","{}","1114","40","1200","320","{}","{""BAZOOKA"":1,""M1 GARAND"":2,""76MM M1 GUN [Sherman M4A3E2(76)]"":4}"
"76561198109623884","=BootySmasher69=","48","65","0.74","5","0.56","0.76","10","1","2","1","259","26","{""HEINZ"":1,""Pyro++"":4,""PF | rik"":7,""synr sam"":1,""メ Heff"":1,""ﾒ Bama"":1,""ﾒ Chox"":1,""ﾒ DoMo"":2,""ﾒ EGGS"":1,""ﾒ Twad"":2,""ﾒ Argon"":2,""ﾒ LuCid"":1,""メ Bisper"":1,""メ Pimpus"":1,""ﾒ Thommy"":6,""ﾒ Merrell"":3,""A Coal Miner"":1,""DavyﾒJones"":2,""MinimumKvass"":3,""ﾒ Shaettax"":1,""ﾒAlCapone84"":4,""ﾒ Mtucker486"":3,""ﾒ Bobothemonk"":1,""ﾒData_Transfer"":1,""PF | SnarkySnacks"":1,""ﾒ H20Instructor"":3,""メSuperSﾒupor㋱"":2,""ﾒ FreeWendyWilliams"":1,""Free Wendy's Restaurant"":2,""♤ HOLY SPIRIT MAN ✠"":1,""メ Free Wendy Williams_1"":1,""ﾒ ❤ WENDY WILLIAMS ❤"":3}","{""Pyro++"":6,""PF | rik"":1,""synr sam"":3,""メ Heff"":1,""ﾒ Bama"":1,""ﾒ EGGS"":1,""ﾒ Twad"":1,""ﾒ Argon"":3,""ﾒ LuCid"":3,""メ Pimpus"":1,""ﾒ Thommy"":2,""ﾒ Merrell"":1,""DavyﾒJones"":2,""ﾒ Mtucker486"":3,""PF | SnarkySnacks"":1,""ﾒ H20Instructor"":3,""メ Sorry Smithers"":2,""synR | ItzDrDudeBro"":2,""メSuperSﾒupor㋱"":1,""ﾒ FreeWendyWilliams"":1,""Free Wendy's Restaurant"":2,""♤ HOLY SPIRIT MAN ✠"":2,""ﾒ ❤ WENDY WILLIAMS ❤"":4,""ﾒ<<<Free Wenderson Wil-liams>>"":1}","384","2980","640","360","{""BAZOOKA"":2,""M1 GARAND"":34,""M1918A2 BAR"":8,""MK2 GRENADE"":1,""M1A1 THOMPSON"":1,""M3 GREASE GUN"":2}","{""MG42"":9,""MP40"":5,""STG44"":10,""FG42 x4"":2,""GEWEHR 43"":23,""BOMBING RUN"":1,""KARABINER 98K"":4,""PANZERSCHRECK"":1,""KARABINER 98K x8"":1,""M43 STIELHANDGRANATE"":1,""150MM HOWITZER [sFH 18]"":4,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":3}"
"76561198087791427","Rob491","16","31","0.52","3","0.19","0.36","9","0","3","1","599","33","{""HEINZ"":1,""smiLk"":3,""Pyro++"":1,""PF | rik"":1,""synr sam"":1,""ﾒ Chox"":2,""ﾒ DoMo"":1,""ﾒ EGGS"":2,""メ Bisper"":1,""ﾒ J_T_F2"":1,""ﾒ Thommy"":1,""G I|I Kayle"":1,""A Coal Miner"":1,""DavyﾒJones"":1,""ﾒAlCapone84"":2,""synR JesterCDN"":1,""ﾒ Mtucker486"":1,""synR | deeej™"":1,""PF | SnarkySnacks"":1,""Free Wendy's Restaurant"":1,""♤ HOLY SPIRIT MAN ✠"":2,""ﾒ FreeWendyWilliams_1"":1,""ﾒ ❤ WENDY WILLIAMS ❤"":1,""ＧＩＧＡＤＥＡＴＨ"":1,""ﾒ<<<Free Wenderson Wil-liams>>"":1}","{""smiLk"":1,""Pyro++"":1,""メ Heff"":1,""ﾒ Chox"":1,""ﾒ EGGS"":1,""ﾒ LuCid"":1,""Original K"":1,""ﾒ J_T_F2"":1,""MinimumKvass"":1,""synR JesterCDN"":2,""ﾒ Mtucker486"":1,""ﾒ FreeWendyWilliams"":1,""♤ HOLY SPIRIT MAN ✠"":1,""ﾒ FreeWendyWilliams_1"":2}","245","440","1080","180","{""BAZOOKA"":2,""M1 GARAND"":12,""57MM CANNON [M1 57mm]"":2}","{""MG42"":2,""MP40"":3,""STG44"":5,""S-MINE"":1,""GEWEHR 43"":8,""KARABINER 98K"":5,""KARABINER 98K x8"":1,""150MM HOWITZER [sFH 18]"":2,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":1,""HULL MG34 [Sd.Kfz.161 Panzer IV]"":1,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1}"
"76561198348103342","I_NoScoped_JFK","69","65","1.06","6","0.81","0.76","9","1","2","1","332","22","{""HEINZ"":3,""smiLk"":2,""Huntzx"":1,""ﾒ Bama"":1,""ﾒ Chox"":2,""ﾒ DoMo"":1,""ﾒ EGGS"":5,""ﾒ Argon"":1,""ﾒ Keanu"":2,""ﾒ LuCid"":1,""Original K"":2,""メ Bisper"":4,""メ Pimpus"":7,""ﾒ J_T_F2"":1,""G I|I Kayle"":2,""A Coal Miner"":1,""Blackshooter"":1,""DavyﾒJones"":2,""MinimumKvass"":1,""ﾒ Shaettax"":3,""ﾒAlCapone84"":3,""ﾒData_Transfer"":2,""PF | SnarkySnacks"":2,""メ Sorry Smithers"":1,""synR | ItzDrDudeBro"":3,""ﾒ FreeWendyWilliams"":2,""ﾒ FreeWendyWilliams_1"":1,""メ Free Wendy Williams_1"":1,""ＧＩＧＡＤＥＡＴＨ"":7}","{""smiLk"":5,""Huntzx"":1,""ﾒ Chox"":1,""ﾒ EGGS"":4,""Original K"":5,""メ Bisper"":4,""メ Pimpus"":10,""ﾒ J_T_F2"":4,""G I|I Kayle"":6,""ﾒ Merrell"":3,""Blackshooter"":2,""DavyﾒJones"":2,""MinimumKvass"":1,""ﾒ Shaettax"":2,""synR JesterCDN"":2,""ﾒ Bobothemonk"":2,""ﾒData_Transfer"":3,""PF | SnarkySnacks"":2,""ﾒ H20Instructor"":1,""メ Sorry Smithers"":1,""synR | ItzDrDudeBro"":1,""ﾒ FreeWendyWilliams_1"":4,""ﾒ ❤ WENDY WILLIAMS ❤"":1,""ＧＩＧＡＤＥＡＴＨ"":2}","637","225","360","700","{""M1 GARAND"":57,""M1918A2 BAR"":12}","{""FG42"":2,""MG42"":7,""MP40"":1,""STG44"":14,""FG42 x4"":2,""SATCHEL"":1,""GEWEHR 43"":26,""BOMBING RUN"":1,""KARABINER 98K"":3,""150MM HOWITZER [sFH 18]"":3,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":2,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""COAXIAL MG34 [Sd.Kfz.161 Panzer IV]"":2}"
"76561198061127715","メ Sorry Smithers","19","50","0.38","3","0.22","0.59","10","0","1","1","359","22","{""Rath"":3,""Жan"":1,""Swift"":4,""Theone"":2,""fatkid"":6,""Ж exel"":6,""〢BuИk"":3,""=Krusader="":3,""=LordBarst="":1,""Crazy_boots"":2,""MS | J-walk-"":1,""Mike Litoris"":1,""PyrochemЖst"":3,""=LordFarquaad="":4,""I_NoScoped_JFK"":1,""Ж︎ | =KaPk="":2,""Ж︎ | =Klink="":2,""=BootySmasher69="":2,""=Krombopulous_MYKL="":1,""=AngeloDeLaMЖrte_tv="":1,""ВOTИ | Dr.DickRespect"":1}","{""Жan"":1,""Swift"":2,""Theone"":3,""fatkid"":1,""Ж exel"":1,""PyrochemЖst"":2,""=Alotta Bush="":1,""=LordFarquaad="":1,""I_NoScoped_JFK"":1,""Ж︎ | =KaPk="":2,""Ж︎ | =Klink="":2,""=Krombopulous_MYKL="":1,""ВOTИ | Dr.DickRespect"":1}","148","420","880","300","{""KARABINER 98K"":19}","{""BAZOOKA"":1,""SATCHEL"":1,""M1 GARAND"":37,""M1 CARBINE"":2,""M1918A2 BAR"":1,""M1A1 THOMPSON"":2,""BROWNING M1919"":3,""155MM HOWITZER [M114]"":3}"
"76561199193306074","ﾒ Not Heinz","0","6","0","0","0","0.07","6","0","0","0","1201","307","{""=Q="":1,""LastLight"":1,""SolarEclipse"":3,""Ж︎ | =Ikea="":1}","{}","657","50","1280","300","{}","{""BAZOOKA"":1,""75MM CANNON [Sherman M4A3(75)W]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":4}"
"76561199150554568","=LordBarst=","15","24","0.62","4","0.18","0.28","7","0","2","1","606","24","{""HEINZ"":1,""smiLk"":1,""PF | rik"":1,""メ Heff"":1,""ﾒ Bama"":1,""ﾒ Argon"":1,""ﾒ Keanu"":2,""Original K"":1,""G I|I Kayle"":1,""DavyﾒJones"":2,""MinimumKvass"":2,""ﾒ Shaettax"":1,""ﾒAlCapone84"":3,""synR | deeej™"":1,""ﾒ Bobothemonk"":1,""PF | SnarkySnacks"":2,""ﾒ H20Instructor"":1,""メ Free Wendy Williams_1"":1}","{""Pyro++"":1,""ﾒ Chox"":1,""ﾒ Twad"":2,""ﾒ J_T_F2"":2,""G I|I Kayle"":1,""ﾒ H20Instructor"":2,""メ Sorry Smithers"":1,""synR | ItzDrDudeBro"":2,""Free Wendy's Restaurant"":1,""ﾒ FreeWendyWilliams_1"":1,""ﾒ ❤ WENDY WILLIAMS ❤"":1}","131","694","1300","60","{""M1 GARAND"":15}","{""MG42"":2,""STG44"":5,""GEWEHR 43"":8,""STRAFING RUN"":1,""KARABINER 98K"":2,""150MM HOWITZER [sFH 18]"":3,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""COAXIAL MG34 [Sd.Kfz.161 Panzer IV]"":2}"
"76561198188104165","eyzmin","31","17","1.82","15","0.36","0.2","5","1","1","1","1307","39","{""HEINZ"":1,""Huntzx"":4,""メ Heff"":1,""ﾒ DoMo"":2,""ﾒ EGGS"":1,""ﾒ Keanu"":1,""G I|I Kayle"":1,""ﾒ Merrell"":1,""A Coal Miner"":1,""DavyﾒJones"":2,""メ Free Wendy Williams_1"":2}","{""メ Heff"":3,""ﾒ Bama"":2,""ﾒ DoMo"":3,""ﾒ Argon"":1,""ﾒ Keanu"":1,""ﾒ LuCid"":1,""Original K"":1,""メ Bisper"":1,""Blackshooter"":1,""DavyﾒJones"":2,""MinimumKvass"":1,""synR JesterCDN"":2,""ﾒ Mtucker486"":2,""ﾒ Bobothemonk"":1,""PF | SnarkySnacks"":1,""ﾒ H20Instructor"":1,""メSuperSﾒupor㋱"":1,""Free Wendy's Restaurant"":2,""♤ HOLY SPIRIT MAN ✠"":1,""ﾒ ❤ WENDY WILLIAMS ❤"":1,""ﾒ<<<Free Wenderson Wil-liams>>"":2}","1067","105","880","500","{""M1 GARAND"":10,""37MM CANNON [Stuart M5A1]"":8,""COAXIAL M1919 [Stuart M5A1]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":9,""COAXIAL M1919 [Sherman M4A3E2(76)]"":3}","{""MP40"":4,""STG44"":1,""FG42 x4"":1,""GEWEHR 43"":4,""KARABINER 98K"":1,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":1,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":2,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":3}"
"76561198272992647","DavyﾒJones","64","72","0.89","7","0.75","0.84","8","2","2","1","203","19","{""=Q="":1,""Rath"":1,""Swift"":3,""Widow"":3,""zesty"":1,""Theone"":2,""Tomato"":2,""Will b"":1,""eyzmin"":2,""=Nerdy="":1,""Ж exel"":1,""Ж | B3n"":3,""DeathVice"":6,""LastLight"":1,""Ξ Bonzoo"":1,""=Krusader="":3,""=R3dbeard="":1,""=Wurlstar="":3,""Big Chonky"":2,""Crazy_boots"":2,""MS | J-walk-"":2,""Mike Litoris"":3,""PyrochemЖst"":2,""TheNutBender"":1,""=LordFarquaad="":6,""I_NoScoped_JFK"":2,""Ж︎ | =Ikea="":4,""Ж︎ | =KaPk="":2,""Ж︎ | =Klink="":4,""=BootySmasher69="":2,""вит | Ventil8"":1,""=Krombopulous_MYKL="":1,""=AngeloDeLaMЖrte_tv="":1,""вит | Phat_Cheeks57"":1}","{""=Q="":2,""Rath"":4,""Жan"":2,""Swift"":1,""zesty"":2,""Rob491"":1,""Theone"":3,""Tomato"":1,""eyzmin"":2,""fatkid"":3,""Ж exel"":2,""〢BuИk"":1,""DeathVice"":1,""Ξ Bonzoo"":3,""=Wurlstar="":1,""Big Chonky"":1,""=LordBarst="":2,""Crazy_boots"":1,""Mike Litoris"":1,""PyrochemЖst"":3,""TheNutBender"":4,""=LordFarquaad="":4,""I_NoScoped_JFK"":2,""Ж︎ | =KaPk="":6,""Ж︎ | =Klink="":8,""=BootySmasher69="":2,""вит | Phat_Cheeks57"":1}","465","175","600","300","{""MG42"":1,""MP40"":26,""STG44"":27,""SATCHEL"":4,""GEWEHR 43"":2,""KARABINER 98K"":1,""PANZERSCHRECK"":3}","{""M1 GARAND"":42,""M1 CARBINE"":2,""M1918A2 BAR"":2,""STRAFING RUN"":1,""M1A1 THOMPSON"":2,""M3 GREASE GUN"":2,""BROWNING M1919"":9,""155MM HOWITZER [M114]"":3,""M6 37mm [M8 Greyhound]"":1,""37MM CANNON [Stuart M5A1]"":2,""COAXIAL M1919 [Stuart M5A1]"":2,""HULL M1919 [Sherman M4A3E2(76)]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":2,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1}"
"76561199242240130","ﾒAlCapone84","202","0","202","202","2.37","0","0","2","0","0","0","9999","{}","{""=Q="":6,""Rath"":3,""Жan"":2,""Swift"":2,""Widow"":2,""zesty"":4,""=Corn="":1,""Rob491"":2,""Theone"":6,""Tomato"":2,""fatkid"":3,""Ж exel"":8,""Ж | B3n"":4,""〢BuИk"":4,""DeathVice"":1,""Ξ Bonzoo"":4,""=R3dbeard="":1,""=Wurlstar="":13,""Big Chonky"":3,""=LordBarst="":3,""Crazy_boots"":11,""MS | J-walk-"":7,""Mike Litoris"":20,""PyrochemЖst"":1,""SolarEclipse"":2,""TheNutBender"":19,""=Alotta Bush="":1,""вит | REAP"":1,""=LordFarquaad="":6,""I_NoScoped_JFK"":3,""Ж︎ | =Ikea="":1,""Ж︎ | =KaPk="":8,""Ж︎ | =Klink="":2,""=BootySmasher69="":4,""вит | Ventil8"":3,""=Krombopulous_MYKL="":5,""=AngeloDeLaMЖrte_tv="":15,""вит | Phat_Cheeks57"":7,""ВOTИ | Dr.DickRespect"":11,""Ξ вит | Comrade Grimm"":1}","1557","0","1780","0","{""M2 AP MINE"":1,""150MM HOWITZER [sFH 18]"":201}","{}"
"76561198450372408","ﾒ Mtucker486","30","53","0.57","4","0.35","0.62","8","0","0","0","296","24","{""Swift"":4,""Rob491"":1,""Theone"":3,""Tomato"":3,""eyzmin"":2,""fatkid"":8,""Ж exel"":4,""〢BuИk"":8,""LastLight"":2,""=Wurlstar="":1,""Big Chonky"":2,""Crazy_boots"":1,""PyrochemЖst"":2,""TheNutBender"":2,""=LordFarquaad="":3,""Ж︎ | =Ikea="":1,""Ж︎ | =KaPk="":2,""=BootySmasher69="":3,""=AngeloDeLaMЖrte_tv="":1}","{""Swift"":3,""Rob491"":1,""Theone"":1,""Tomato"":1,""fatkid"":1,""Ж exel"":3,""〢BuИk"":4,""=Wurlstar="":1,""Big Chonky"":2,""Crazy_boots"":3,""PyrochemЖst"":3,""вит | REAP"":1,""Ж︎ | =KaPk="":1,""=BootySmasher69="":3,""=Krombopulous_MYKL="":2}","225","0","1000","260","{""FG42 x4"":8,""KARABINER 98K x8"":22}","{""BAZOOKA"":3,""UNKNOWN"":1,""M1 GARAND"":32,""BROWNING M1919"":8,""57MM CANNON [M1 57mm]"":1,""M6 37mm [M8 Greyhound]"":3,""COAXIAL M1919 [Sherman M4A3E2(76)]"":5}"
