"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561198109623884","=BootySmasher69=","53","65","0.82","10","0.62","0.76","7","0","3","1","313","17","{""som"":1,""Gang"":4,""OMW2FYB"":1,""メKX99"":4,""Organiik"":1,""ﾒ DoMo"":1,""ﾒ EGGS"":4,""ﾒ Heff"":1,""ﾒ evac"":6,""Ruler_HLL"":2,""メ FAD3D"":1,""ﾒ Keanu"":6,""ﾒ LuCid"":3,""Kel'Thuzad"":1,""frizzman13"":1,""ゐ ChoЯa"":4,""DavyﾒJones"":2,""ﾒ Mtucker486"":1,""Baﾒman Smokes"":1,""メMinimumKvass"":1,""ﾒData_Transfer"":1,""ﾒ H20Instructor"":1,""obi_one_cajone Ⓡ"":1,""ﾒ JitMuncher9001"":5,""メ Stormin' Mormon"":4,""LosメCojonesメLobo"":2,""♤ メdirtyinthehouse"":1,""ﾒ ItzDrDudeBro | VT Pt ♤"":1,""Ｇ I|I ＧＡＤＥＡＴＨ"":2,""ﾒPvt Firtht Clath..... Did I A"":1}","{""Zjdll"":4,""OMW2FYB"":1,""ﾒ DoMo"":3,""ﾒ EGGS"":6,""ﾒ Heff"":3,""ﾒ evac"":6,""メ FAD3D"":1,""ﾒ Keanu"":1,""ﾒ LuCid"":1,""Kel'Thuzad"":4,""frizzman13"":1,""ゐ ChoЯa"":2,""メ Nyqvist"":1,""DavyﾒJones"":2,""ﾒ deeej™"":3,""ﾒ Mark Tanks"":1,""メMinimumKvass"":1,""ﾒ H20Instructor"":4,""obi_one_cajone Ⓡ"":2,""メ Stormin' Mormon"":1,""♤ メdirtyinthehouse"":4,""ﾒ ItzDrDudeBro | VT Pt ♤"":1}","559","2985","960","180","{""STG44"":18,""SATCHEL"":1,""GEWEHR 43"":34}","{""BAZOOKA"":1,""SATCHEL"":1,""M1 GARAND"":38,""M1 CARBINE"":4,""M1918A2 BAR"":1,""MK2 GRENADE"":1,""M1A1 THOMPSON"":1,""BROWNING M1919"":12,""155MM HOWITZER [M114]"":5,""37MM CANNON [Stuart M5A1]"":1}"
"76561199282498696","ﾒ ItzDrDudeBro | VT Pt ♤","23","20","1.15","5","0.28","0.24","5","0","0","0","1162","31","{""DJ"":1,""kapk"":2,""=Nerdy="":2,""=Oresto="":1,""Krusader"":1,""LastLight"":1,""Ж | Rath"":1,""Vomit Coffin"":1,""вит | REAP"":2,""=Twisted Cards="":1,""=BootySmasher69="":1,""в●ти | =exel="":1,""=AngeloDeLaMorte_TV="":2,""MS | Smurf 我很爛"":2,""ВOTИ | Dr.Dickrespect"":1}","{""kapk"":3,""Ralfus"":2,""Rob491"":2,""=Nerdy="":1,""TheeЖone"":1,""Ж | Rath"":3,""Alotta Bush"":1,""MS Killed Syn"":1,""=BootySmasher69="":1,""в●ти | =exel="":1,""=Krombopulous_MYKL="":1,""=AngeloDeLaMorte_TV="":1,""MS | Smurf 我很爛"":3,""ВOTИ | Dr.Dickrespect"":1,""Ξ вит | 季赛冠军"":1}","270","2360","980","20","{""BAZOOKA"":1,""M1 GARAND"":20,""MK2 GRENADE"":1,""M3 GREASE GUN"":1}","{""MG42"":3,""MP40"":2,""STG44"":4,""SATCHEL"":1,""GEWEHR 43"":6,""KARABINER 98K"":1,""150MM HOWITZER [sFH 18]"":1,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1}"
"76561199192778063","Ralfus","14","26","0.54","4","0.16","0.3","8","0","0","0","671","39","{""Gang"":2,""Zjdll"":2,""メKX99"":1,""ﾒ DoMo"":1,""ﾒ evac"":1,""メ FAD3D"":1,""frizzman13"":1,""ﾒ Thommy"":2,""ﾒ Tweety"":5,""DavyﾒJones"":1,""ﾒ Mark Tanks"":1,""trailerprktrash"":2,""メ Stormin' Mormon"":2,""メSuperSﾒupor㋱"":1,""ﾒ ItzDrDudeBro | VT Pt ♤"":2,""ﾒPvt Firtht Clath..... Did I A"":1}","{""som"":1,""Zjdll"":1,""ﾒ Bob!"":2,""frizzman13"":1,""ﾒ Thommy"":1,""ﾒ Tweety"":2,""メoNexusss"":1,""ﾒ Mark Tanks"":1,""メ Stormin' Mormon"":2,""LosメCojonesメLobo"":1,""メ Captain 1st Class DocHollyda"":1}","178","511","160","1300","{""KARABINER 98K"":14}","{""M1 GARAND"":16,""M1 CARBINE"":2,""M1A1 THOMPSON"":1,""BROWNING M1919"":2,""M1903 SPRINGFIELD"":1,""37MM CANNON [Stuart M5A1]"":1,""75MM CANNON [Sherman M4A3(75)W]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1,""COAXIAL M1919 [Sherman M4A3(75)W]"":1}"
"76561199089795675","Itz Noble55","44","65","0.68","6","0.52","0.76","9","0","0","0","443","19","{""Gang"":5,""OMW2FYB"":3,""メKX99"":2,""ﾒ DoMo"":1,""ﾒ EGGS"":2,""ﾒ Heff"":4,""ﾒ evac"":3,""ﾒ Keanu"":2,""ﾒ LuCid"":1,""Kel'Thuzad"":2,""frizzman13"":1,""ゐ ChoЯa"":3,""DavyﾒJones"":1,""ﾒ deeej™"":1,""ﾒ Mark Tanks"":2,""ﾒ Mtucker486"":1,""synR | WooWitan"":1,""trailerprktrash"":1,""ﾒData_Transfer"":1,""ﾒ H20Instructor"":2,""obi_one_cajone Ⓡ"":4,""ﾒ JitMuncher9001"":11,""メ Stormin' Mormon"":2,""メSuperSﾒupor㋱"":2,""Ｇ I|I ＧＡＤＥＡＴＨ"":6,""メ Captain 1st Class DocHollyda"":1}","{""OMW2FYB"":3,""メKX99"":4,""ﾒTric"":1,""ﾒ EGGS"":2,""ﾒ Heff"":3,""ﾒ evac"":2,""Ruler_HLL"":1,""ﾒ Keanu"":2,""Kel'Thuzad"":2,""ゐ ChoЯa"":1,""DavyﾒJones"":1,""ﾒ deeej™"":1,""ﾒ Mark Tanks"":1,""Baﾒman Smokes"":2,""メMinimumKvass"":2,""ﾒData_Transfer"":2,""ﾒ H20Instructor"":4,""obi_one_cajone Ⓡ"":1,""メ Corporal Bimpus"":1,""メ Stormin' Mormon"":1,""LosメCojonesメLobo"":2,""♤ メdirtyinthehouse"":1,""Ｇ I|I ＧＡＤＥＡＴＨ"":1,""メ Captain 1st Class DocHollyda"":1,""ﾒPvt Firtht Clath..... Did I A"":2}","525","355","860","200","{""MG42"":5,""MP40"":4,""STG44"":13,""SATCHEL"":1,""GEWEHR 43"":12,""KARABINER 98K"":8,""PANZERSCHRECK"":1}","{""BAZOOKA"":2,""SATCHEL"":2,""M1 GARAND"":23,""M1 CARBINE"":3,""M1918A2 BAR"":4,""M3 GREASE GUN"":4,""BROWNING M1919"":14,""155MM HOWITZER [M114]"":11,""37MM CANNON [Stuart M5A1]"":2}"
"76561198006179280","メ Captain 1st Class DocHollyda","17","22","0.77","3","0.2","0.26","5","0","0","0","922","39","{""DJ"":1,""kapk"":3,""Жan"":1,""Ralfus"":1,""Rob491"":1,""=Caono="":1,""Ξ eyzmin"":1,""Ж | Rath"":2,""Alotta Bush"":2,""Crazy_boots"":1,""Itz Noble55"":1,""WidowGlazer"":1,""SolarEclipse"":1,""TheeSquillien"":1,""=Twisted Cards="":1,""TheFatEvilSloth"":1,""=Krombopulous_MYKL="":1,""Ξ вит | 季赛冠军"":1}","{""kapk"":1,""Жan"":2,""Rob491"":1,""Will b"":1,""=Caono="":1,""=Oresto="":1,""=LordBarst="":1,""Capt.Taylor"":1,""Itz Noble55"":1,""=Watch_Doge="":1,""Evil Santa 28"":1,""TheeSquillien"":1,""в●ти | =exel="":2,""MS | Smurf 我很爛"":1,""=Girth Brooks=(THICC)(CLWN)"":1}","370","281","1240","140","{""M1 GARAND"":13,""M8 Greyhound"":1,""M6 37mm [M8 Greyhound]"":2,""HULL M1919 [Stuart M5A1]"":1}","{""MG42"":1,""SATCHEL"":2,""GEWEHR 43"":9,""KARABINER 98K"":4,""PANZERSCHRECK"":1,""TELLERMINE 43"":1,""150MM HOWITZER [sFH 18]"":1,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":2}"
"76561198844383640","=Caono=","24","26","0.92","6","0.28","0.3","5","0","0","0","565","23","{""som"":1,""メKX99"":1,""ﾒTric"":1,""ﾒ Bob!"":1,""ﾒ DoMo"":1,""ﾒ EGGS"":1,""ﾒ Heff"":1,""Ruler_HLL"":4,""メ Cfouu"":1,""ﾒ LuCid"":2,""frizzman13"":2,""メ Nyqvist"":1,""DavyﾒJones"":2,""ﾒ deeej™"":1,""trailerprktrash"":1,""メ Corporal Bimpus"":1,""メSuperSﾒupor㋱"":2,""LosメCojonesメLobo"":1,""メ Captain 1st Class DocHollyda"":1}","{""メKX99"":1,""ﾒ Heff"":1,""メ Cfouu"":2,""ﾒ smiLk"":1,""ゐ ChoЯa"":1,""メ Nyqvist"":2,""DavyﾒJones"":1,""ﾒ deeej™"":2,""ﾒ Mtucker486"":1,""メMinimumKvass"":2,""obi_one_cajone Ⓡ"":2,""メ Corporal Bimpus"":2,""メSuperSﾒupor㋱"":3,""LosメCojonesメLobo"":1,""メ Captain 1st Class DocHollyda"":1,""ﾒPvt Firtht Clath..... Did I A"":1}","266","495","1220","20","{""MG42"":1,""GEWEHR 43"":20,""KARABINER 98K"":2,""M43 STIELHANDGRANATE"":1}","{""BAZOOKA"":1,""SATCHEL"":1,""M1 GARAND"":15,""M1918A2 BAR"":1,""MK2 GRENADE"":1,""M3 GREASE GUN"":1,""BROWNING M1919"":1,""M1903 SPRINGFIELD"":2,""M6 37mm [M8 Greyhound]"":1,""37MM CANNON [Stuart M5A1]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1}"
"76561198263824258","ﾒPvt Firtht Clath..... Did I A","6","23","0.26","3","0.07","0.27","9","0","1","1","785","22","{""DJ"":2,""kapk"":3,""=Caono="":1,""=Klink="":2,""=Oresto="":1,""LastLight"":3,""Ж | Rath"":1,""=LordBarst="":1,""Itz Noble55"":2,""SolarEclipse"":1,""Vomit Coffin"":1,""MS Killed Syn"":1,""вит | REAP"":1,""MS | Smurf 我很爛"":1,""ВOTИ | Dr.Dickrespect"":2}","{""Ralfus"":1,""MrKravs33"":1,""Vomit Coffin"":1,""TheFatEvilSloth"":1,""=BootySmasher69="":1,""в●ти | =exel="":1}","260","760","1080","260","{""M1 GARAND"":2,""Stuart M5A1"":1,""HULL M1919 [Stuart M5A1]"":2,""37MM CANNON [Stuart M5A1]"":1}","{""MG42"":2,""STG44"":1,""S-MINE"":1,""SATCHEL"":1,""GEWEHR 43"":6,""M8 Greyhound"":1,""KARABINER 98K"":2,""PANZERSCHRECK"":1,""TELLERMINE 43"":1,""150MM HOWITZER [sFH 18]"":2,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":2,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":2}"
"76561198200219465","ﾒ Bob!","9","17","0.53","3","0.11","0.2","8","0","1","1","850","32","{""kapk"":6,""Swift"":1,""Ralfus"":2,""Ж | Rath"":2,""=LordFarquaad="":1,""=Twisted Cards="":3,""MS | Smurf 我很爛"":2}","{""kapk"":2,""Жan"":1,""=Caono="":1,""Alotta Bush"":1,""Crazy_boots"":1,""TheFatEvilSloth"":2,""=Girth Brooks=(THICC)(CLWN)"":1}","333","165","1460","0","{""M3 GREASE GUN"":7,""HULL M1919 [Stuart M5A1]"":2}","{""MP40"":2,""STG44"":2,""SATCHEL"":2,""GEWEHR 43"":5,""KARABINER 98K"":2,""TELLERMINE 43"":1,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":2}"
"76561199181920668","DJ","221","0","221","221","2.59","0","0","2","0","0","0","9999","{}","{""som"":2,""Gang"":1,""Zjdll"":10,""OMW2FYB"":24,""メKX99"":5,""ﾒ DoMo"":3,""ﾒ EGGS"":4,""ﾒ Heff"":15,""ﾒ evac"":4,""Ruler_HLL"":1,""メ Cfouu"":2,""メ FAD3D"":1,""ﾒ Keanu"":5,""ﾒ LuCid"":6,""Kel'Thuzad"":2,""ゐ ChoЯa"":21,""メoNexusss"":1,""DavyﾒJones"":6,""ﾒ deeej™"":7,""ﾒ Mark Tanks"":6,""ﾒ Mtucker486"":1,""synR | WooWitan"":2,""メMinimumKvass"":7,""ﾒData_Transfer"":24,""ﾒ H20Instructor"":23,""obi_one_cajone Ⓡ"":11,""メ Corporal Bimpus"":7,""メSuperSﾒupor㋱"":3,""LosメCojonesメLobo"":3,""♤ メdirtyinthehouse"":2,""ﾒ ItzDrDudeBro | VT Pt ♤"":1,""Ｇ I|I ＧＡＤＥＡＴＨ"":8,""メ Captain 1st Class DocHollyda"":1,""ﾒPvt Firtht Clath..... Did I A"":2}","1728","0","1780","0","{""150MM HOWITZER [sFH 18]"":221}","{}"
"76561198367851099","MS Killed Syn","52","25","2.08","11","0.61","0.29","4","1","0","0","837","24","{""Gang"":1,""Zjdll"":1,""Ruler_HLL"":5,""メ Cfouu"":2,""ﾒ smiLk"":2,""Kel'Thuzad"":1,""ﾒ Tweety"":1,""メ Nyqvist"":2,""ﾒ deeej™"":1,""ﾒ Mtucker486"":3,""trailerprktrash"":2,""obi_one_cajone Ⓡ"":2,""ﾒ ItzDrDudeBro | VT Pt ♤"":1,""Ｇ I|I ＧＡＤＥＡＴＨ"":1}","{""som"":1,""メKX99"":3,""ﾒ Heff"":1,""Ruler_HLL"":2,""メ Cfouu"":5,""メ FAD3D"":1,""ﾒ LuCid"":2,""ﾒ smiLk"":1,""ゐ ChoЯa"":1,""ﾒ Thommy"":2,""メ Nyqvist"":5,""ﾒ deeej™"":1,""ﾒ Mtucker486"":6,""Baﾒman Smokes"":1,""synR | WooWitan"":5,""メMinimumKvass"":5,""ﾒData_Transfer"":1,""ﾒ H20Instructor"":2,""obi_one_cajone Ⓡ"":2,""メ Corporal Bimpus"":1,""メSuperSﾒupor㋱"":1,""Ｇ I|I ＧＡＤＥＡＴＨ"":2,""ﾒPvt Firtht Clath..... Did I A"":1}","622","115","1320","60","{""MG42"":27,""MP40"":1,""STG44"":1,""FG42 x4"":3,""Sd.Kfz.234 Puma"":2,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":5,""COAXIAL MG34 [Sd.Kfz.121 Luchs]"":1,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":11}","{""BAZOOKA"":2,""M1 GARAND"":18,""BROWNING M1919"":2,""M1903 SPRINGFIELD"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1}"
