"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561198049514800","VLKㆍdrakobiec","26","29","0.9","4","0.6","0.67","4","0","1","1","319","21","{""B3n"":5,""kapk"":2,""Widow"":3,""=Ether="":3,""Krusader"":1,""DeathVice"":1,""TheeЖone"":4,""WhiskyPilot"":1,""MS | J-walk-"":3,""Fortnite Placenta"":3,""Bombardiro Crocodilo"":3}","{""B3n"":1,""Xan"":2,""kapk"":2,""Vidar"":2,""Widow"":1,""=Ether="":3,""=Njordin="":1,""TheeЖone"":1,""=Wurlstar="":7,""MS | J-walk-"":1,""=PrinceCoyote="":1,""Fortnite Placenta"":1,""=AngeloDeLaMorte_TV="":2,""Bombardiro Crocodilo"":1}","237","713","360","240","{""M1 GARAND"":23,""MK2 GRENADE"":3}","{""MG42"":9,""MP40"":4,""STG44"":8,""FG42 x4"":1,""GEWEHR 43"":3,""KARABINER 98K"":2,""150MM HOWITZER [sFH 18]"":1,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1}"
"71c67f53686bc80f387ec66ccec2b598","VLKㆍMaximus","22","6","3.67","10","0.51","0.14","2","1","0","0","515","39","{""exel"":1,""=Ether="":1,""WhiskyPilot"":1,""WindowGazer"":1,""вит | REAP"":2}","{""Rath"":1,""kapk"":2,""Will b"":1,""fatkid"":1,""=Ether="":1,""=Klink="":1,""=Nerdy="":1,""DeathVice"":1,""WindowGazer"":1,""MS | J-walk-"":1,""=PrinceCoyote="":1,""=Just Win Baby="":2,""Bespokeparasite"":1,""=Gatrick Swayze="":1,""=Krombopulous_MYKL="":2,""=AngeloDeLaMorte_TV="":1,""Bombardiro Crocodilo"":1,""GBI • 🅼🅴🅻🅻🅾🆆"":2}","435","30","440","320","{""M1 GARAND"":1,""M6 37mm [M8 Greyhound]"":10,""37MM CANNON [Stuart M5A1]"":1,""75MM CANNON [Sherman M4A3(75)W]"":8,""COAXIAL M1919 [Sherman M4A3(75)W]"":2}","{""SATCHEL"":1,""GEWEHR 43"":1,""PANZERSCHRECK"":3,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1}"
"76561198012664514","VLKㆍGoLeM","27","33","0.82","5","0.62","0.76","5","0","0","0","178","32","{""exel"":3,""fatkid"":4,""=Ether="":1,""=Klink="":3,""Krusader"":1,""DeathVice"":2,""LastLight"":3,""LegendXo7"":3,""MrKravs33"":2,""Alotta Bush"":2,""Crazy_boots"":1,""Itz Noble55"":1,""WindowGazer"":2,""MS | J-walk-"":1,""=Just Win Baby="":2,""=Gatrick Swayze="":1,""GBI • 🅼🅴🅻🅻🅾🆆"":1}","{""Rath"":2,""exel"":5,""Widow"":1,""fatkid"":3,""=Ether="":1,""=Klink="":4,""LegendXo7"":3,""MrKravs33"":1,""MS | J-walk-"":3,""=Just Win Baby="":2,""=Gatrick Swayze="":1,""Fortnite Placenta"":1}","251","95","160","360","{""M1 GARAND"":24,""M3 GREASE GUN"":2,""M1903 SPRINGFIELD"":1}","{""FG42"":2,""MG42"":4,""MP40"":1,""STG44"":4,""FG42 x4"":1,""GEWEHR 43"":13,""KARABINER 98K"":4,""150MM HOWITZER [sFH 18]"":1,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":2,""COAXIAL MG34 [Sd.Kfz.161 Panzer IV]"":1}"
"76561198025019518","=PrinceCoyote=","12","25","0.48","4","0.27","0.57","8","0","2","1","192","29","{""VLKㆍmIKI"":1,""GBI • Ham"":1,""VLKㆍizizi"":2,""VLKㆍTripø"":1,""VLKㆍV4ndry"":1,""VLKㆍWΦRRY"":1,""VLKㆍCT-7567"":2,""VLKㆍMaximus"":1,""VLK • teresa"":1,""VLKㆍULTIMATE"":2,""VLKㆍBl4y3r CZ"":4,""VLKㆍdrakobiec"":1,""VLKㆍRudysCze88"":1,""VLKㆍムRaptorム"":1,""VLKㆍrockNrollBombing"":5}","{""Altanok5"":1,""VLKㆍPeap"":1,""VLKㆍmIKI"":2,""VLKㆍBLAST"":1,""VLKㆍZUGY-CZ"":1,""VLKㆍHamibaba"":2,""VLKㆍNinjonik"":1,""VLKㆍBl4y3r CZ"":1,""VLKㆍHellfuhRer"":1,""VLKㆍ^_راجنار_^_Anubis"":1}","205","1755","480","60","{""STG44"":9,""SATCHEL"":3}","{""SATCHEL"":1,""M1 GARAND"":12,""M1A1 THOMPSON"":1,""BROWNING M1919"":6,""155MM HOWITZER [M114]"":2,""COAXIAL M1919 [Sherman M4A3E2(76)]"":3}"
"76561198095802046","VLKㆍHamibaba","13","24","0.54","2","0.3","0.55","7","0","0","0","287","20","{""B3n"":3,""kapk"":1,""Vidar"":2,""Widow"":3,""Ralfus"":1,""Rob491"":1,""=Ether="":1,""DeathVice"":1,""LastLight"":1,""TheeЖone"":4,""=Wurlstar="":1,""=PrinceCoyote="":2,""Fortnite Placenta"":1,""=AngeloDeLaMorte_TV="":1,""Bombardiro Crocodilo"":1}","{""B3n"":1,""kapk"":2,""Vidar"":1,""Ralfus"":1,""=Caono="":1,""=Wurlstar="":1,""WindowGazer"":1,""MS | J-walk-"":2,""Fortnite Placenta"":1,""GBI • 🅼🅴🅻🅻🅾🆆"":2}","120","449","280","360","{""M1 GARAND"":13}","{""MG42"":4,""MP40"":2,""STG44"":8,""FG42 x4"":1,""GEWEHR 43"":3,""LUGER P08"":1,""KARABINER 98K"":3,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1}"
"76561198367851099","Fortnite Placenta","23","12","1.92","5","0.53","0.28","2","0","0","0","1045","56","{""Altanok5"":1,""VLKㆍGoLeM"":1,""VLKㆍTripø"":1,""VLKㆍZUGY-CZ"":1,""VLKㆍHamibaba"":1,""VLKㆍRennee77"":1,""VLKㆍSandiary"":1,""VLK ㆍmatyáš"":1,""VLKㆍdrakobiec"":1,""VLKㆍHellfuhRer"":1,""VLKㆍŠtěpánCZ"":2}","{""Altanok5"":1,""VLKㆍmIKI"":1,""VLKㆍGkost"":1,""VLKㆍizizi"":1,""VLKㆍV4ndry"":1,""VLKㆍWΦRRY"":1,""VLKㆍZUGY-CZ"":1,""VLKㆍHamibaba"":1,""VLKㆍRennee77"":1,""VLKㆍSandiary"":1,""Kempování ☂"":1,""VLKㆍBl4y3r CZ"":1,""VLKㆍHopity CZ"":2,""VLKㆍdrakobiec"":3,""VLKㆍHellfuhRer"":1,""VLKㆍŠtěpánCZ"":1,""zasraný táborník "":1,""VLKㆍrockNrollBombing"":2,""VLKㆍ^_راجنار_^_Anubis"":1}","236","225","600","80","{""MG42"":21,""UNKNOWN"":1,""LUGER P08"":1}","{""M1 GARAND"":8,""M1 CARBINE"":2,""MK2 GRENADE"":1,""M1903 SPRINGFIELD"":1}"
"76561198946183331","VLKㆍSKILLIZ1","5","8","0.62","2","0.11","0.18","3","0","0","0","838","121","{""Rath"":1,""exel"":1,""Will b"":1,""=Caono="":4,""Crazy_boots"":1}","{""kapk"":1,""Rob491"":1,""=Caono="":2,""вит | Ventil8"":1}","159","340","360","420","{""M1 GARAND"":4,""M1A1 THOMPSON"":1}","{""STG44"":2,""GEWEHR 43"":5,""PANZERSCHRECK"":1}"
"76561199192778063","Ralfus","2","12","0.17","1","0.04","0.27","6","0","0","0","420","64","{""VLKㆍmIKI"":1,""VLKㆍBOREC"":1,""VLKㆍTripø"":2,""VLKㆍHamibaba"":1,""VLKㆍSandiary"":1,""VLK ㆍmatyáš"":1,""VLKㆍHellfuhRer"":1,""VLKㆍLoreMaster"":1,""VLKㆍrockNrollBombing"":3}","{""VLKㆍHamibaba"":1,""VLKㆍBl4y3r CZ"":1}","32","326","580","80","{""KARABINER 98K"":2}","{""M1 GARAND"":8,""MK2 GRENADE"":1,""BROWNING M1919"":2,""HULL M1919 [Sherman M4A3(75)W]"":1}"
"76561198800907820","=ApachiJr=","0","3","0","0","0","0.07","3","0","0","0","1193","360","{""VLKㆍKW"":1,""GBI • Ham"":1,""VLKㆍULTIMATE"":1}","{}","519","155","760","60","{}","{""BAZOOKA"":1,""M1A1 THOMPSON"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1}"
"9db4c708aecaa3dd14ab475772f64935","VLKㆍizizi","12","30","0.4","5","0.28","0.69","8","0","0","0","287","3","{""Xan"":1,""Rath"":1,""kapk"":1,""Widow"":1,""Will b"":1,""=Ether="":1,""Krusader"":11,""LastLight"":1,""TheeЖone"":1,""Alotta Bush"":1,""Crazy_boots"":1,""WhiskyPilot"":1,""WindowGazer"":1,""MS | J-walk-"":2,""Vomit Coffin"":2,""Fortnite Placenta"":1,""=AngeloDeLaMorte_TV="":1,""GBI • 🅼🅴🅻🅻🅾🆆"":1}","{""Swift"":2,""Widow"":1,""=Ether="":1,""=Wurlstar="":3,""Crazy_boots"":1,""MS | J-walk-"":1,""=PrinceCoyote="":2,""=AngeloDeLaMorte_TV="":1}","118","490","320","200","{""M1918A2 BAR"":2,""BROWNING M1919"":10}","{""MG42"":1,""MP40"":3,""STG44"":4,""GEWEHR 43"":6,""KARABINER 98K"":2,""150MM HOWITZER [sFH 18]"":11,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":1,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1}"
