"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561198119570050","PyrochemЖst","31","52","0.6","3","0.36","0.61","7","0","0","0","223","30","{""guizera"":2,""Vektorios"":7,""『V』XDM"":2,""『V』h4v0c"":2,""『V』Miltin"":2,""『V』Napalm"":5,""『V』Mordeka"":2,""『V』Quintino"":4,""『V』SpearooW"":1,""『V』G T O ☯"":5,""『V』O Engel/YouTube"":7,""『V』SHENLONG 神龙"":10,""『V』A Brazilian Noob"":1,""『V』• « TRUX » •"":1,""『V』 «† PINICO †»"":1}","{""Vektorios"":1,""『V』XDM"":1,""『V』h4v0c"":2,""『V』Miltin"":4,""『V』Napalm"":2,""『V』Mordeka"":3,""『V』Quintino"":1,""『V』G T O ☯"":3,""『V』Rasta ツ"":1,""『V』BooTiiNhaS"":1,""『V』O Engel/YouTube"":3,""『V』SHENLONG 神龙"":4,""『V』Peixotralha (WTHr)"":2,""『V』• « TRUX » •"":2,""『V』 «† PINICO †»"":1}","261","916","1220","20","{""GEWEHR 43"":31}","{""BAZOOKA"":2,""M1 GARAND"":43,""M2 AP MINE"":1,""M1918A2 BAR"":1,""M1A1 THOMPSON"":1,""M97 TRENCH GUN"":4}"
"76561198842007016","『V』Afanalbeto","107","0","107","107","1.25","0","0","1","0","0","0","9999","{}","{""Widow"":5,""Ralfus"":2,""Will b"":1,""eyzmin"":1,""fatkid"":3,""R E A P"":9,""Ж exel"":2,""D' Bearz"":1,""ULFBERHT"":1,""Ж | B3n"":10,""Ж | Rath"":2,""=Wurlstar="":2,""Big Chonky"":1,""=LordBarst="":2,""Crazy_boots"":1,""MS | J-walk-"":4,""Mike Litoris"":1,""TheNutBender"":2,""Vomit Coffin"":4,""Evil Santa 28"":2,""=LordFarquaad="":6,""I_NoScoped_JFK"":1,""Ж︎ | =KaPk="":9,""Ж︎ | =Klink="":6,""ﾒ Bobothemonk"":1,""=BootySmasher69="":6,""BOTИ | Archytek"":3,""Ж | =Alotta Bush="":8,""=Krombopulous_MYKL="":7,""=AngeloDeLaMorte_TV="":3,""Ξ вит | Comrade Grimm"":1}","883","20","1780","0","{""TELLERMINE 43"":1,""155MM HOWITZER [M114]"":106}","{}"
"76561198259213250","『V』Peixotralha (WTHr)","22","13","1.69","6","0.26","0.15","4","1","0","0","1675","45","{""Widow"":1,""fatkid"":1,""=Vidar="":1,""Ж | Rath"":1,""=Wurlstar="":3,""PyrochemЖst"":2,""=LordFarquaad="":1,""〖★〗Krusader"":3}","{""Widow"":1,""=Caono="":2,""R E A P"":3,""Ж | B3n"":2,""=Wurlstar="":3,""=LordBarst="":1,""TheNutBender"":1,""Vomit Coffin"":1,""Ж︎ | =Klink="":1,""ﾒ Bobothemonk"":1,""=BootySmasher69="":4,""=AngeloDeLaMorte_TV="":2}","161","340","1240","140","{""M1 GARAND"":4,""BROWNING M1919"":18}","{""STG44"":1,""FG42 x4"":1,""UNKNOWN"":1,""GEWEHR 43"":7,""150MM HOWITZER [sFH 18]"":3}"
"76561198982716760","WinnableSleet","16","5","3.2","8","0.19","0.06","1","1","1","1","2233","355","{""Tangerino026"":3,""『V』P4nd4"":1,""『V』Quintino"":1}","{""『V』Ross"":1,""Tangerino026"":1,""『V』P4nd4"":1,""『V』Napalm"":1,""『V』Mordeka"":1,""『V』 Mumm-Ra"":1,""『V』SpearooW"":1,""『V』G T O ☯"":1,""『V』BooTiiNhaS"":2,""『V』SoldierMacedo"":1,""『Vr』AdrianoPessoa"":1,""『V』PingaComLimão"":1,""『V』SHENLONG 神龙"":1,""『V』A Brazilian Noob"":2}","256","20","1560","20","{""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":5,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":9,""COAXIAL MG34 [Sd.Kfz.161 Panzer IV]"":1}","{""BAZOOKA"":1,""75MM CANNON [Sherman M4A3(75)W]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":3}"
"76561199175640467","『V』Mordeka","14","26","0.54","2","0.25","0.47","5","0","0","0","395","37","{""Swift"":1,""=Caono="":4,""=Nerdy="":3,""R E A P"":1,""Ж gibbs"":2,""DeathVice"":1,""LegendXo7"":3,""=R3dbeard="":1,""=Wurlstar="":1,""PyrochemЖst"":3,""Vomit Coffin"":1,""WinnableSleet"":1,""〖★〗Krusader"":4}","{""Swift"":1,""=Caono="":2,""=Nerdy="":1,""=Vidar="":2,""ULFBERHT"":1,""DeathVice"":1,""=Wurlstar="":1,""=LordBarst="":2,""PyrochemЖst"":2,""I_NoScoped_JFK"":1}","101","0","360","480","{""BAZOOKA"":2,""M1 GARAND"":12}","{""FG42"":3,""MG42"":1,""MP40"":1,""STG44"":1,""GEWEHR 43"":13,""WALTHER P38"":1,""150MM HOWITZER [sFH 18]"":4,""HULL MG34 [Sd.Kfz.181 Tiger 1]"":1,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1}"
"76561197976300433","『V』[CoBrA] Sartori*","24","20","1.2","4","0.28","0.23","4","1","0","0","837","24","{""fatkid"":1,""=Caono="":2,""=Vidar="":2,""R E A P"":2,""Ж gibbs"":1,""Ж | Rath"":1,""MS | J-walk-"":5,""TheNutBender"":1,""Vomit Coffin"":1,""=LordFarquaad="":1,""=PrinceCoyote="":1,""Ж︎ | =Klink="":1,""〖★〗Krusader"":1}","{""fatkid"":1,""=Caono="":1,""=Nerdy="":1,""=Vidar="":2,""Ж exel"":2,""ULFBERHT"":1,""Ж gibbs"":1,""Ж | Rath"":2,""=Wurlstar="":1,""Crazy_boots"":2,""MS | J-walk-"":1,""TheNutBender"":2,""=LordFarquaad="":1,""I_NoScoped_JFK"":1,""=BootySmasher69="":3,""=AngeloDeLaMorte_TV="":2}","186","976","1440","80","{""M1 GARAND"":23,""MK2 GRENADE"":1}","{""MP40"":1,""STG44"":4,""FG42 x4"":2,""GEWEHR 43"":12,""150MM HOWITZER [sFH 18]"":1}"
"6196d0902f50794c350471082a620675","V HenriqueW","23","57","0.4","3","0.27","0.67","15","0","2","1","233","23","{""Widow"":5,""Will b"":1,""fatkid"":1,""R E A P"":3,""D' Bearz"":2,""Ж | B3n"":1,""DeathVice"":8,""=Wurlstar="":1,""MS | J-walk-"":4,""Vomit Coffin"":1,""=LordFarquaad="":6,""Ж︎ | =KaPk="":3,""=Twisted Cards="":1,""Ж︎ | =Klink="":5,""=BootySmasher69="":2,""〖★〗Krusader"":9,""Ж | =Alotta Bush="":1,""=Krombopulous_MYKL="":3}","{""Widow"":3,""Will b"":1,""R E A P"":1,""D' Bearz"":2,""ULFBERHT"":1,""Ж | B3n"":3,""=R3dbeard="":1,""MS | J-walk-"":1,""=LordFarquaad="":1,""Ж︎ | =KaPk="":2,""Ж︎ | =Klink="":1,""ﾒ Bobothemonk"":2,""=BootySmasher69="":2,""BOTИ | Archytek"":1,""=Krombopulous_MYKL="":1}","192","160","860","180","{""BAZOOKA"":2,""M1 GARAND"":13,""M1 CARBINE"":5,""M1A1 THOMPSON"":3}","{""MG42"":8,""MP40"":2,""STG44"":6,""FG42 x4"":1,""GEWEHR 43"":22,""STRAFING RUN"":1,""KARABINER 98K"":6,""M43 STIELHANDGRANATE"":1,""150MM HOWITZER [sFH 18]"":9,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1}"
"76561199556288691","『V』h4v0c","43","47","0.91","5","0.5","0.55","5","0","0","0","536","31","{""Tomato"":1,""Will b"":2,""fatkid"":1,""=Nerdy="":6,""=Vidar="":5,""DeathVice"":1,""LegendXo7"":8,""=Wurlstar="":1,""=LordBarst="":3,""Mike Litoris"":4,""PyrochemЖst"":2,""TheNutBender"":2,""Evil Santa 28"":1,""=PrinceCoyote="":1,""I_NoScoped_JFK"":1,""ﾒ Bobothemonk"":2,""=BootySmasher69="":1,""BOTИ | Archytek"":1,""=Champion Sounds="":2,""〖★〗Krusader"":1,""Ж | =Alotta Bush="":1}","{""Widow"":1,""Ralfus"":1,""Will b"":1,""fatkid"":2,""=Caono="":1,""=Nerdy="":5,""=Vidar="":4,""Ж gibbs"":1,""Ж | B3n"":1,""LegendXo7"":2,""=Wurlstar="":1,""=LordBarst="":4,""Mike Litoris"":1,""PyrochemЖst"":2,""Evil Santa 28"":1,""=PrinceCoyote="":5,""ﾒ Bobothemonk"":1,""=Champion Sounds="":5,""Ж | =Alotta Bush="":2,""=Krombopulous_MYKL="":1,""=AngeloDeLaMorte_TV="":1}","327","75","160","1000","{""BAZOOKA"":1,""UNKNOWN"":1,""M1 GARAND"":23,""M1A1 THOMPSON"":18}","{""FG42"":5,""MG42"":1,""STG44"":6,""GEWEHR 43"":28,""STRAFING RUN"":1,""KARABINER 98K"":3,""M43 STIELHANDGRANATE"":1,""150MM HOWITZER [sFH 18]"":1,""HULL MG34 [Sd.Kfz.181 Tiger 1]"":1}"
"76561199093207410","TheNutBender","73","62","1.18","8","0.86","0.73","4","1","1","1","261","24","{""guizera"":4,""Tico Liro"":1,""Vektorios"":3,""『V』XDM"":3,""『V』Miltin"":7,""『V』Napalm"":5,""『V』BODOQUE"":1,""『V』Quintino"":4,""『V』SpearooW"":1,""『V』G T O ☯"":2,""『V』Rasta ツ"":2,""『V』Afanalbeto"":2,""『V』VonMackΞnsen"":6,""『V』PingaComLimão"":1,""『V』O Engel/YouTube"":1,""『V』SHENLONG 神龙"":1,""『V』A Brazilian Noob"":1,""『V』[CoBrA] Sartori*"":2,""『V』Tracks_GT [CoBrA]"":6,""『V』Peixotralha (WTHr)"":1,""『V』• « TRUX » •"":7,""『V』 «† PINICO †»"":1}","{""guizera"":6,""Vektorios"":1,""Kromatic44"":2,""『V』XDM"":4,""『V』Ross"":2,""『V』h4v0c"":2,""『V』Miltin"":5,""『V』Napalm"":6,""『V』 DrFritz"":1,""『V』Quintino"":4,""『V』G T O ☯"":2,""『V』Rasta ツ"":10,""『V』VonMackΞnsen"":6,""『V』PingaComLimão"":1,""『V』SHENLONG 神龙"":3,""『V』A Brazilian Noob"":1,""『V』[CoBrA] Sartori*"":1,""『V』Tracks_GT [CoBrA]"":4,""『V』• « TRUX » •"":12}","505","2920","1160","80","{""STG44"":63,""SATCHEL"":3,""UNKNOWN"":1,""GEWEHR 43"":2,""KARABINER 98K"":4}","{""BAZOOKA"":1,""M1 GARAND"":42,""M1 CARBINE"":1,""M2 AP MINE"":1,""M1918A2 BAR"":3,""MK2 GRENADE"":2,""M1A1 THOMPSON"":2,""BROWNING M1919"":5,""M97 TRENCH GUN"":2,""155MM HOWITZER [M114]"":2,""M6 37mm [M8 Greyhound]"":1}"
"76561198368458286","〖★〗Krusader","137","0","137","137","1.61","0","0","1","0","0","0","9999","{}","{""guizera"":1,""Tico Liro"":5,""Vektorios"":1,""Kromatic44"":5,""『V』XDM"":1,""V HenriqueW"":9,""『V』Ross"":6,""『V』Miope"":9,""『V』andso"":2,""『V』h4v0c"":1,""『Vr』Daren"":1,""『V』Napalm"":1,""『V』R4TBOY"":4,""『V』Mordeka"":4,""『V』O_Padre"":4,""『V』eeeedu1"":7,""『Vr』GATINHO"":13,""『V』 DrFritz"":1,""『V』Barão V"":5,""『V』Quintino"":2,""『V』SpearooW"":8,""『V』Rasta ツ"":1,""『V』Skyline:."":3,""『V』BooTiiNhaS"":14,""『V』Malandrowski"":9,""『V』VonMackΞnsen"":4,""『V』PingaComLimão"":5,""『V』A Brazilian Noob"":5,""『V』[CoBrA] Sartori*"":1,""『V』Peixotralha (WTHr)"":3,""『V』• « TRUX » •"":2}","1224","0","1780","0","{""UNKNOWN"":3,""M1A1 AT MINE"":1,""150MM HOWITZER [sFH 18]"":132,""GMC CCKW 353 (Transport)"":1}","{}"
