"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561197964919183","Tomato","4","8","0.5","2","0.05","0.09","4","1","0","0","2831","35","{""Taty Comendo"":1,""『V』Miope"":2,""-🆁-Tachanka"":1,""-🆁- SINDRAMA"":1,""『V』[CoBrA] aMaReLo*"":1,""FREE 800 DÓLARES DISCORD -🆁-"":2}","{""V HenriqueW"":1,""『V』andso"":2,""『V』Miltin"":1}","595","405","1540","120","{""M1 GARAND"":1,""M3 GREASE GUN"":1,""HULL M1919 [Sherman M4A3E2(76)]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1}","{""FG42"":1,""MG42"":2,""MP40"":2,""GEWEHR 43"":1,""PANZERSCHRECK"":1,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1}"
"76561198281050250","-🆁ec- KFC","45","58","0.78","5","0.65","0.84","7","0","1","1","157","17","{""kapk"":2,""Swift"":4,""=Hawk="":3,""Will b"":1,""=Caono="":2,""=Oresto="":1,""Ж gibbs"":4,""Ж | B3n"":2,""≧ω≦"":9,""DeathVice"":1,""LegendXo7"":1,""TheeЖone"":2,""=Krusader="":1,""=Wurlstar="":4,""Big Chonky"":1,""MS | J-walk-"":2,""TheNutBender"":1,""Vomit Coffin"":1,""I_NoScoped_JFK"":4,""Ж︎ | =Klink="":1,""ﾒ Bobothemonk"":4,""Ж | =Alotta Bush="":1,""в●ти | =exel="":1,""=Krombopulous_MYKL="":1,""=AngeloDeLaMorte_TV="":2,""вит | Phat_Cheeks57"":1,""Ξ вит | 季赛冠军"":1}","{""kapk"":2,""Жan"":1,""Swift"":1,""=Hawk="":2,""DeathVice"":1,""MrKravs33"":1,""TheeЖone"":3,""=Wafflorz="":3,""=Wurlstar="":1,""Big Chonky"":3,""More Ghana"":1,""TheNutBender"":1,""Vomit Coffin"":1,""I_NoScoped_JFK"":2,""Ж︎ | =Klink="":2,""ﾒ Bobothemonk"":4,""=BootySmasher69="":1,""вит | R E A P"":4,""ВOTИ | Archytek"":2,""вит |Frosty_55"":1,""Ж | =Alotta Bush="":3,""в●ти | =exel="":2,""=Krombopulous_MYKL="":3}","400","70","620","280","{""GEWEHR 43"":45}","{""M1 GARAND"":35,""M1 CARBINE"":4,""MK2 GRENADE"":1,""M3 GREASE GUN"":1,""BROWNING M1919"":5,""M97 TRENCH GUN"":1,""155MM HOWITZER [M114]"":9,""HULL M1919 [Stuart M5A1]"":1,""HULL M1919 [Sherman M4A3E2(76)]"":1}"
"76561198017480896","=R3dbeard=","1","3","0.33","1","0.01","0.04","2","0","1","1","2791","281","{""Tangerino026"":1,""『V』andso"":1,""-🆁- SINDRAMA"":1}","{""『V』kingdomedu"":1}","485","205","1480","180","{""HULL M1919 [Sherman M4A3E2(76)]"":1}","{""MG42"":1,""SATCHEL"":1,""75MM CANNON [PAK 40]"":1}"
"76561198357804087","『V』kingdomedu","64","61","1.05","8","0.75","0.71","7","1","0","0","224","25","{""kapk"":1,""Жan"":1,""Swift"":2,""=Hawk="":2,""Will b"":2,""D' Bearz"":1,""≧ω≦"":4,""=M4ILBOX="":1,""DeathVice"":2,""=R3dbeard="":1,""=Wafflorz="":2,""Big Chonky"":2,""MS | J-walk-"":2,""TheNutBender"":7,""=LordFarquaad="":4,""I_NoScoped_JFK"":4,""Bespokeparasite"":3,""Ж︎ | =Klink="":5,""вит |Frosty_55"":2,""в●ти | =exel="":4,""=Krombopulous_MYKL="":3,""=AngeloDeLaMorte_TV="":3,""Ξ вит | 季赛冠军"":3}","{""kapk"":1,""Swift"":1,""=Hawk="":2,""Will b"":1,""=Caono="":1,""D' Bearz"":4,""Ж | B3n"":1,""=M4ILBOX="":1,""MrKravs33"":1,""TheeЖone"":2,""=Wafflorz="":3,""Big Chonky"":3,""More Ghana"":2,""Mike Litoris"":1,""TheNutBender"":6,""Vomit Coffin"":5,""=LordFarquaad="":2,""I_NoScoped_JFK"":1,""Ж︎ | =Klink="":10,""ﾒ Bobothemonk"":2,""вит |Frosty_55"":4,""в●ти | =exel="":4,""=Krombopulous_MYKL="":3,""=AngeloDeLaMorte_TV="":2,""вит | Phat_Cheeks57"":1}","636","1293","820","420","{""GEWEHR 43"":64}","{""M1 GARAND"":39,""BOMBING RUN"":1,""MK2 GRENADE"":2,""M1A1 THOMPSON"":1,""M3 GREASE GUN"":5,""BROWNING M1919"":2,""155MM HOWITZER [M114]"":4,""HULL M1919 [Stuart M5A1]"":3,""37MM CANNON [Stuart M5A1]"":2,""75MM CANNON [Sherman M4A3(75)W]"":1,""HULL M1919 [Sherman M4A3E2(76)]"":1}"
"76561198035852469","-🆁-Maxi Neder","34","38","0.89","4","0.4","0.45","7","0","0","0","462","16","{""Жan"":8,""Swift"":1,""=Caono="":1,""D' Bearz"":1,""DeathVice"":1,""TheeЖone"":2,""=Wafflorz="":3,""TheNutBender"":3,""Vomit Coffin"":1,""=LordFarquaad="":1,""I_NoScoped_JFK"":4,""ﾒ Bobothemonk"":1,""=BootySmasher69="":1,""вит |Frosty_55"":2,""в●ти | =exel="":4,""=AngeloDeLaMorte_TV="":3,""Ξ вит | 季赛冠军"":1}","{""Жan"":3,""=Hawk="":1,""Will b"":1,""=Caono="":1,""MrKravs33"":1,""TheeЖone"":1,""=Wafflorz="":3,""Big Chonky"":2,""TheNutBender"":2,""Vomit Coffin"":1,""=LordFarquaad="":1,""I_NoScoped_JFK"":4,""ﾒ Bobothemonk"":3,""=BootySmasher69="":1,""в●ти | =exel="":1,""=Krombopulous_MYKL="":1,""=AngeloDeLaMorte_TV="":6,""MS | Smurf 我很爛"":1}","301","982","1240","60","{""GEWEHR 43"":34}","{""BAZOOKA"":1,""M1 GARAND"":26,""M1 CARBINE"":1,""MK2 GRENADE"":1,""M1A1 THOMPSON"":2,""M3 GREASE GUN"":4,""BROWNING M1919"":1,""M97 TRENCH GUN"":2}"
"76561199636267887","Ж | =Alotta Bush=","49","65","0.75","7","0.57","0.76","8","1","3","2","227","20","{""larralde"":5,""-🆁-Fafa"":4,""-🆁- Katz"":2,""『V』Ross"":1,""『V』ecko"":3,""-🆁- Osteo"":1,""-🆁ec- KFC"":3,""Tangerino026"":1,""Taty Comendo"":3,""『V』Miope"":1,""『V』andso"":1,""-🆁ec- aaaa"":2,""『V』O_Padre"":2,""-🆁- SINDRAMA"":5,""『Vr』GATINHO"":4,""『V』SpearooW"":3,""『V』Skyline:."":4,""-🆁- Chipamowgli"":2,""-🆁- P E L U S A"":1,""-🆁- Chaqueño ✞"":1,""-🆁ec- Jóse Shelby"":6,""『V』SHENLONG 神龙"":8,""-🆁- ESBIRREAN.&@gg/%"":1,""-🆁-momo con anteojos"":1}","{""larralde"":3,""V HenriqueW"":1,""『V』ecko"":2,""-🆁ec- KFC"":1,""Tangerino026"":2,""『V』andso"":2,""-🆁ec- aaaa"":1,""『V』O_Padre"":3,""-🆁- SINDRAMA"":6,""『V』SpearooW"":5,""『Vr』dollynho"":1,""『V』G T O ☯"":1,""『V』Skyline:."":7,""-🆁- Chipamowgli"":2,""-🆁- Chaqueño ✞"":2,""『V』SHENLONG 神龙"":6,""-🆁- ESBIRREAN.&@gg/%"":1,""-🆁ec- Kanza(J.C.Messi)"":1,""『V』• « TRUX » •"":1,""FREE 800 DÓLARES DISCORD -🆁-"":1}","446","720","860","240","{""M1 GARAND"":48,""MK2 GRENADE"":1}","{""FG42"":3,""MG34"":1,""MG42"":5,""MP40"":5,""STG44"":7,""FG42 x4"":1,""SATCHEL"":1,""UNKNOWN"":1,""GEWEHR 43"":27,""FELDSPATEN"":1,""KARABINER 98K"":6,""KARABINER 98K x8"":1,""150MM HOWITZER [sFH 18]"":6}"
"76561199435879756","-🆁-Fafa","43","63","0.68","6","0.5","0.74","10","0","1","1","286","16","{""kapk"":2,""Жan"":1,""Swift"":1,""=Hawk="":1,""Will b"":2,""=Oresto="":4,""D' Bearz"":2,""Ж gibbs"":7,""Ж | B3n"":1,""≧ω≦"":6,""DeathVice"":2,""TheeЖone"":1,""=Krusader="":1,""=Wurlstar="":5,""Big Chonky"":1,""Buttspoons"":1,""More Ghana"":1,""MS | J-walk-"":8,""TheNutBender"":1,""Vomit Coffin"":1,""=LordFarquaad="":3,""I_NoScoped_JFK"":3,""=Twisted Cards="":1,""ВOTИ | Archytek"":4,""вит | Phat_Cheeks57"":1,""Ξ вит | 季赛冠军"":2}","{""kapk"":7,""Swift"":3,""=Caono="":1,""=Oresto="":1,""D' Bearz"":1,""Ж gibbs"":4,""TheeЖone"":1,""=Wurlstar="":3,""Big Chonky"":2,""More Ghana"":1,""MS | J-walk-"":6,""=LordFarquaad="":3,""I_NoScoped_JFK"":1,""ﾒ Bobothemonk"":2,""вит |Frosty_55"":2,""Ж | =Alotta Bush="":4,""=Krombopulous_MYKL="":1}","437","1305","760","480","{""STG44"":2,""UNKNOWN"":1,""GEWEHR 43"":39,""M43 STIELHANDGRANATE"":1}","{""BAZOOKA"":1,""M1 GARAND"":33,""M1 CARBINE"":1,""BOMBING RUN"":1,""MK2 GRENADE"":2,""STRAFING RUN"":1,""M3 GREASE GUN"":2,""BROWNING M1919"":8,""M97 TRENCH GUN"":1,""M1903 SPRINGFIELD"":1,""155MM HOWITZER [M114]"":6,""57MM CANNON [M1 57mm]"":2,""M6 37mm [M8 Greyhound]"":1,""37MM CANNON [Stuart M5A1]"":1,""COAXIAL M1919 [Stuart M5A1]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1}"
"76561198844383640","=Caono=","18","35","0.51","4","0.22","0.42","17","0","0","0","400","15","{""BrT_026"":2,""-🆁-Fafa"":1,""『V』Ross"":1,""『V』Miope"":3,""-🆁-1Valdez"":1,""-🆁ec- aaaa"":1,""『V』O_Padre"":1,""-🆁- SINDRAMA"":2,""-🆁ec- Lefunk"":1,""『Vr』GATINHO"":1,""『V』SpearooW"":1,""-🆁-Maxi Neder"":1,""『V』Skyline:."":3,""『Vr』Le_Fanton"":1,""『Vr』Usainbo0t"":1,""『V』kingdomedu"":1,""-🆁ec- Jóse Shelby"":7,""-🆁- dACERSITO; 👑"":2,""-🆁ec- Kanza(J.C.Messi)"":1,""『V』• « TRUX » •"":2,""FREE 800 DÓLARES DISCORD -🆁-"":1}","{""-🆁- Max"":1,""V HenriqueW"":1,""『V』Ross"":1,""-🆁ec- KFC"":2,""『V』andso"":1,""-🆁-1Valdez"":1,""-🆁ec- aaaa"":3,""-🆁-Tachanka"":1,""-🆁-Maxi Neder"":1,""-🆁- Petrus3108"":1,""-🆁- Chaqueño ✞"":1,""-🆁-momo con anteojos"":1,""『V』[CoBrA] aMaReLo*"":1,""『V』 «† PINICO †»"":2}","347","650","780","420","{""BAZOOKA"":2,""M1 GARAND"":10,""M2 AP MINE"":1,""M97 TRENCH GUN"":5}","{""FG42"":1,""MG34"":1,""MG42"":2,""STG44"":3,""FG42 x4"":1,""GEWEHR 43"":12,""BOMBING RUN"":1,""KARABINER 98K"":2,""KARABINER 98K x8"":1,""150MM HOWITZER [sFH 18]"":7,""HULL MG34 [Sd.Kfz.181 Tiger 1]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":3}"
"76561198079076707","Swift","45","74","0.61","8","0.53","0.87","16","2","2","1","262","18","{""BrT_026"":1,""larralde"":2,""-🆁-Fafa"":3,""-🆁- Katz"":2,""V HenriqueW"":3,""『V』ecko"":3,""-🆁- Osteo"":4,""-🆁ec- KFC"":1,""『V』Miope"":2,""『V』andso"":2,""-🆁ec- aaaa"":1,""『V』O_Padre"":1,""-🆁- SINDRAMA"":1,""-🆁ec- Lefunk"":5,""『Vr』GATINHO"":2,""『V』SpearooW"":2,""『V』G T O ☯"":1,""-🆁- Petrus3108"":1,""『V』kingdomedu"":1,""-🆁- Chipamowgli"":5,""-🆁ec- Jóse Shelby"":20,""『V』SHENLONG 神龙"":2,""-🆁- ESBIRREAN.&@gg/%"":3,""『V』[CoBrA] aMaReLo*"":1,""-🆁ec- Kanza(J.C.Messi)"":4,""『V』• « TRUX » •"":1}","{""larralde"":4,""-🆁-Fafa"":1,""-🆁- Katz"":3,""V HenriqueW"":1,""『V』Ross"":1,""『V』ecko"":1,""-🆁- Osteo"":4,""-🆁ec- KFC"":4,""Taty Comendo"":1,""『V』Miope"":1,""『V』andso"":3,""-🆁ec- aaaa"":1,""-🆁- SINDRAMA"":1,""『Vr』GATINHO"":1,""『V』SpearooW"":1,""-🆁-Maxi Neder"":1,""『V』kingdomedu"":2,""-🆁- Chipamowgli"":4,""-🆁- dACERSITO; 👑"":1,""-🆁- ESBIRREAN.&@gg/%"":1,""『V』[CoBrA] aMaReLo*"":1,""-🆁ec- Kanza(J.C.Messi)"":3,""『V』• « TRUX » •"":2,""『V』 «† PINICO †»"":2}","387","1750","760","380","{""M1 GARAND"":44,""MK2 GRENADE"":1}","{""MG42"":4,""MP40"":2,""STG44"":4,""FG42 x4"":1,""SATCHEL"":1,""GEWEHR 43"":27,""KARABINER 98K"":7,""M43 STIELHANDGRANATE"":2,""150MM HOWITZER [sFH 18]"":20,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":2,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":2}"
"76561198167393739","-🆁-Tachanka","25","12","2.08","18","0.29","0.14","2","1","0","0","1145","76","{""Жan"":1,""=Caono="":1,""=Ether="":1,""≧ω≦"":1,""MrKravs33"":1,""Mike Litoris"":3,""=Twisted Cards="":2,""Bespokeparasite"":1,""Ж︎ | =Klink="":1}","{""Tomato"":1,""=Ether="":1,""Taylorr"":1,""ULFBERHT"":1,""Ж | B3n"":1,""LegendXo7"":1,""MrKravs33"":4,""TheeЖone"":2,""=Krusader="":1,""Buttspoons"":1,""父 =Hodgy="":1,""=Twisted Cards="":1,""Bespokeparasite"":1,""Ж︎ | =Klink="":2,""ﾒ Bobothemonk"":2,""=BootySmasher69="":1,""вит | R E A P"":1,""ВOTИ | Archytek"":2}","570","65","920","580","{""STG44"":2,""WALTHER P38"":1,""Sd.Kfz.161 Panzer IV"":1,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":16,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""COAXIAL MG34 [Sd.Kfz.161 Panzer IV]"":3}","{""BAZOOKA"":2,""M1 GARAND"":5,""155MM HOWITZER [M114]"":1,""75MM CANNON [Sherman M4A3(75)W]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":3}"
