,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Total Sign Ups,71,,,,,,
,Breakdown:,,Assault 1,,,,Assault 2,,,,Flex,,,,Recon,,,,Line 1,9,,,,,,,,,
,25 ROTN (2 tank crews),,TL,ROTN | KapK,TRUE,,TL,ROTN | AngeloDeLaMorte,TRUE,,TL,вит | Widow,TRUE,,R1,ROTN | Krombopulous_MYKL,TRUE,,Line 2,9,,вит | Will b,,,,,,,1
,24 BNT (1 tank crew),,ATL1,ROTN | Swift,TRUE,,ATL1,ROTN | Wurlstar,TRUE,,ATL1,вит | Bonzoo,TRUE,,SNP ,,FALSE,,Flex / SAB,10,,вит | B3n,,,,,,,1
,,,ATL2,вит | Pyrochemist,TRUE,,ATL2,ROTN | J-walk-,TRUE,,ATL2,ROTN | Alotta Bush,TRUE,,R2,ROTN | More Ghana,TRUE,,Defense,8,,ROTN | KapK,,,,,,,1
,,,Inf,ROTN | Bootysmasher69,TRUE,,Inf,вит | Crazy_boots,TRUE,,Inf,вит | Zesty,TRUE,,SNP ,,FALSE,,Commander,1,,ROTN | Q,,,,,,,1
,,,Inf,ROTN | LordFarquaad,TRUE,,Inf,вит | NutBender,TRUE,,Inf,вит | Rath,TRUE,,Artillery,,,,Recon / Arty,3,,ROTN | DJ,,,,,,,0
,,,Inf,вит | Fatkid,TRUE,,Inf,ROTN | Q,TRUE,,Inf,ROTN | Xan,TRUE,,ARTY,ROTN | Krusader,TRUE,,Armor,9,,,,,,,,,0
,,,Inf,вит | TheeOne,TRUE,,Inf,вит | Mike Litoris,TRUE,,Inf,вит | I_NoScoped_JFK,TRUE,,,,,,,,,ROTN | Klutch,,,,,,,0
,,,Inf,ROTN | Exel,TRUE,,Inf,вит | Archytekk,TRUE,,Inf,ROTN | Klink,TRUE,,,,,,,,,вит | Pyrochemist,,,,,,,1
,,,MG,ROTN | BurkeReynolds,TRUE,,MG,вит | B3n,TRUE,,MG,вит | DeathVice,TRUE,,,,,,,,,вит | Widow,,,,,,,1
,,,Nodes (Top/Left),,HQ,,Nodes (Mid),,HQ,,Nodes (Bottom/Right),,HQ,,Drivers,,,,Leads Rostered,18,,ROTN | BurkeReynolds,,,,,,,1
,,,ENG,ROTN | Bootysmasher69,1,,ENG,вит | Crazy_boots,2,,ENG,вит | Zesty,3,,L1,ROTN | Exel,,,Infantry Rostered,22,,ROTN | LegendX,,,,,,,0
,,,SUP,ROTN | LordFarquaad,1,,SUP,вит | NutBender,2,,SUP,вит | Rath,3,,L2,вит | Archytekk,,,Total Rostered,49,,ROTN | Lordbarst,,,,,,,1
